title,sentiment,prediction
The Odds For A Trump Recession Are Inching Higher,negative,1
"Evergrande has defaulted on its debt, Fitch Ratings says",negative,1
Pending Home Sales Fall for Second Straight Month,negative,1
Bank of America is raising its minimum wage for employees to $20 an hour,neutral,1
"Now Earning 278 Times More Than Average Worker, New Study Shows CEO Pay Has Grown More Than 1,000% Since 1978",positive,1
SEC chief warns ‘clock is ticking’ on delisting chinese stocks,negative,1
"Delivery driver slams customers for ""tip baiting"" but customers defend the practice",negative,0
White House Spurns Intel Plan to Boost Chip Production in China,positive,0
"Americans Now More Worried About Covidâ€™s Impact On Economy Than Public Health, Poll Finds",negative,1
"In China’s Surging Property Market, Falling Rents Point to Economic Pain - WSJ",negative,1
Fed lures banks to buy unwanted US Treasuries,neutral,0
"100% of the economists who answered the latest IGM poll agree with the statement ""Mandating staff vaccinations and/or regular testing at big employers would promote a faster and stronger economic recovery.""",positive,2
Economy Is Going to Hit an Iceberg in 10 Days,neutral,0
"Analysis: After sanctions barrage, Russia's emerging market allies explore workarounds",positive,1
"Tesla asks employees for help delivering 30,000 cars by end of quarter",positive,2
2008 financial Crisis Never Really Ended,neutral,1
Why Direct Lending to Small &amp; Medium Businesses Will Exacerbate the Next Financial Crisis,negative,0
"Sanctions Hammering Russia Economy May Last 10 Years, UK Says",negative,0
California could force Amazon to reveal productivity quotas that critics say limit workers’ bathroom breaks. Amazon claims performance targets depend on ‘actual employee performance’.,negative,1
Porsche’s all-electric Taycan outsells its flagship 911 sports car,positive,1
U.S. Chamber of Commerce says the U.S. is being left behind after Asia forms RCEP trade bloc,negative,0
Is China Fudging its GDP figures? - Federal Reserve Bank San Francisco,negative,1
"Steve Ballmer's LA Clippers sing $300m ""Intuit Dome"" arena sponsorship deal with Aspiration",positive,1
"BREAKING ACLU: The Department of Labor just proposed a rule that aims to let government contractors fire workers who are LGBTQ, or who are pregnant and unmarried, based on the employersâ€™ religious views. This is taxpayer-funded discrimination in the name of religion. Period.",negative,0
Grocery prices continue to rise—and there's no end in sight,positive,0
How a $15 minimum wage could help restaurants and other hard-hit small businesses,positive,1
New US Fed Announcements Have Lowered Chances of Their Own Targets Being Hit,negative,0
Trump has reportedly asked aides to find a way to weaken the US dollar,positive,2
Renaissance Technologies to pay about $7 bn to settle tax probe,neutral,0
"According to recent study, they are 38 million home based businesses in the US.Home based business owners are generating an average revenue of $427 billion per year",neutral,0
Study: Quarantine Made Americans Realize Theyâ€™re Sick of Their Stuff,negative,1
Opinion | How Many People Are at Risk of Losing Their Homes in Your Neighborhood?,negative,1
OPEC and allies’ oil production cut is Trump’s ‘biggest and most complex’ deal ever: Dan Yergin,neutral,1
Apple Would Be Banned From Preinstalling Its Own iPhone Apps Under Proposed Antitrust Bill,negative,0
A Tale of Two Tariffs: China’s So Far Ineffective Tariffs on U.S. Manufacturing Exports,negative,1
"U.S. campaign against Huawei appears to be working, as Chinese tech giant loses sales outside its home market",negative,1
Russians liquidating crypto in the UAE as they seek safe havens,negative,0
Ease of doing business: India among 20 most improved countries,positive,0
Southwest Says Boeing Did Not Disclose Safety Issue...,neutral,2
Credit Card Swipe Fees Continue to Threaten Small Businesses. Congress Should Act.,negative,0
J.B. Hunt says intermodal demand exceeds capacity,positive,1
Pro-Bitcoin Ron Paul Savages 'Total Failure' Fed for 'Flat-Out Broke' America,negative,1
Merck says a trial shows it has produced the first effective antiviral pill for Covid.,positive,0
10 Best Tips for Successful Content Marketing,neutral,1
US business pushes Biden for a China trade deal,positive,0
Meta agrees to pay $90 million to settle a lawsuit alleging Facebook kept tracking users after they logged off,negative,1
"Weekly jobless claims total 362,000 above 335,000 estimate",negative,1
Elon Musk says SpaceX could face 'genuine risk of bankruptcy' from Starship engine production,negative,1
"Six Companies Disrupting the Coffee Industry, or at Least Giving it Their Best (Espresso) Shot",negative,0
Here’s why America’s $1.5 trillion student-loan crisis has spiralled out of control,negative,1
Eurozone out of recession after economy grows 2%,negative,1
Southwest Airlines Reveals $348 Million Profit,neutral,1
Canada February building permits -5.7% vs +2.0% expected,positive,0
IMF to issue downbeat outlook as spectre of stagflation looms,negative,0
"TIL The Average US Adult Spends an Average of 3 Hours, 43 Minutes Every Day on Mobile Devices. This Is 8 Minutes More on Than the Average Time Spent Watching TV Every Day.",neutral,1
The Federal Reserve Said The Biggest U.S. Banks Are Healthy Enough To Start Whittling Down Their Capital Stockpiles,negative,1
"Japan deliberately manipulated Korean currrency in it's ""Phased Plan""",negative,0
Fear of an Impending Car-Price Collapse Grips the Auto Industry,negative,1
"Column: Amid coronavirus pandemic, Trump tariffs raise cost of masks, other medical supplies",neutral,1
Uber revamps driver pay algorithm in large U.S. pilot to attract drivers,neutral,2
"USDA relocates economists whose work challenges Trump policies: Those who examine the impact of tariffs, climate change and taxes on rural America are among employees being reassigned.",negative,1
The enduring triumph of Chimerica,neutral,1
Bloomberg: Top China Forecaster Sees GDP Growth Near Zero in Third Quarter,negative,1
Beyond Meat Teams Up With Dunkin’ Donuts. Chipotle Says No Thanks.,neutral,1
"Manufacturing is now officially in recession, despite Trump's vow to boost industry",negative,0
The Bad Economics of Fossil Fuel Defenders,negative,1
Writeup on Spotify,negative,1
"SEC probes Elon Musk, brother Kimbal over Tesla share sales - WSJ",negative,1
China’s November Exports and Imports Hit New Records on Strong Demand - Bloomberg,positive,1
Rolls-Royce sells Spanish unit for €1.7bn as it repairs finances,positive,0
Specter of 'double-dip' recession looming large,negative,0
China plans bigger tax cuts in 2022 to prop up slower growth,positive,0
No major US company surveyed by CNBC supports Trump's call for Fed to cut interest rates,negative,1
Uber unveils IPO with warning it may never make a profit,neutral,1
Why China is best positioned to help Afghanistan reconstruction - Global Times,neutral,1
Small Business Rescue Earned Banks $10 Billion In Fees,positive,0
"A New Approach to Protecting Gig Workers | California law stops platform companies like Uber, Lyft, and DoorDash from misclassifying their more than 400,000 drivers as independent contractors, rather than employees.",negative,1
"Just Ahead of Labor Day, Trump Floats Tax Cut Condemned as 'Pure Giveaway to Wealthy'. ""Apart from just sending millionaires checks, it's hard to think of a tax cut more targeted to the ultra-rich.""",neutral,1
Record UK government borrowing surplus in January,negative,0
Japanese taxpayers were shut out from Olympic venues. Now they can view the staggering bill.,neutral,1
Did Hyman Minsky find the secret behind financial crashes?,neutral,0
"3 million Americans skip mortgage payments, but Fannie Mae and Freddie Mac will cut mortgage servicers a break",negative,0
Trump has reportedly tasked aides to find a way to weaken the US dollar,positive,2
Corporations Are Shamelessly Using Inflation as a Cover,negative,0
54% of NY restaurants expect to close in six months,neutral,0
Libra Update: What’s Happening with Facebook’s Cryptocurrency?,negative,1
All that glitters...aint gold. Simplest measure of the economy are truck stops. If truck parking is even a 1/3 to half-full on a Monday morning to early afternoon...something is amiss.,negative,0
15 Asia-Pacific countries sign world's largest free trade agreement in coup for China to extend influence,positive,0
Reforms to African agriculture markets didn’t help farmers or consumers as intended. The reason seems to be with how intermediary traders set prices.,neutral,2
JPMorgan cuts ties with OxyContin maker Purdue Pharma,negative,1
"Big Business Steps Up For Clean Energy, Even As Washington Stands Down",neutral,1
Bloomberg: Chinaâ€™s Factory Activity Shrinks in October for Second Month,negative,0
"Biden advisers say pandemic, not policies, fueling inflation",negative,0
Workers Want to Do Their Jobs From Anywhere and Keep Their Big-City Salaries - Employers see remote work as an opportunity to save money by cutting pay; employees argue that their work has the same value no matter where they do it,negative,1
Warren Buffett argues government budget deficits don't matter.,neutral,0
Hut Group founder Moulding to give up golden share in bid to restore City confidence,neutral,0
"Bruegel: For the climate, Asia-Pacific must phase out fossil-fuel subsidies",neutral,1
PM sees India as USD 10-trillion economy with countless startups,neutral,0
China's August forex reserves rise to $3.1072 trillion,positive,1
"Undoing Obamacare would lead to huge tax cuts for the wealthiest Americans, study says",neutral,0
EXCLUSIVE Rating agencies say Biden&amp;#x27;s spending plans will not add to inflationary pressure,positive,1
"Popular café called 'Nice Baps' turns down £750,000 buyout bid from Costa Coffee",negative,0
Is the world's largest issuer of green bonds misleading investors?,neutral,0
Christmas at Risk as Supply Chain ‘Disaster’ Only Gets Worse,negative,1
SPIVA U.S. Scorecard: &lt;10% of managers beat their benchmark over a 15 year period,positive,1
"If You Can’t Afford the Rent, It’s My Problem, TooImproving the quality of life in cities matters to more than just the people who live in them.",negative,1
Unemployment in the EU jumped to 6.6% in April,positive,1
Apple: Ten Years Forward,neutral,0
One billion ounces of silver traded in London on Monday as prices surged,positive,1
China Evergrande applies for bond trading suspension after downgrade,negative,1
Interest Rates: Naturally Negative?,neutral,1
T-shirts and jeans may get more expensive as cotton prices hit 10-year high,neutral,0
BOJ's Kuroda says he disagrees with modern monetary theory | Article,negative,0
Juul Shake-up: C.E.O. Steps Down,negative,2
Swiss inflation unexpectedly slows in September,negative,1
$249 For Apple AirPods Pro… Seriously?,neutral,0
"Midtown Is Still Empty, and Landlords Are Sounding the Alarm",negative,1
"Is There Really A ""Looming Bank Collapse?""",negative,1
Opinion | How to Tax Our Way Back to Justice: It is absurd that the working class is now paying higher tax rates than the richest people in America.,neutral,0
Every state in the US is now under a major disaster declaration,negative,1
"Trade war: US actions will not affect growth, says Huawei founder Ren Zhengfei",positive,0
"Yet another 4-decade inflation high is expected for February, even before the gas price spike",positive,1
"America has spent over a trillion dollars fighting the war on drugs. 50 years later, drug use in the U.S. is climbing again.",positive,1
"Shell Buys Russian Oil at Bargain Price. Western countries would blink first, I had always said sanctions won’t even last a week",neutral,2
An Invisible Shield: States Begin Enacting COVID-19 Liability Protections,neutral,1
China Considers Canceling Trade Talks With U.S.,negative,0
Bank of England to Stir Debate Over U.K. Negative Interest Rates,negative,0
New research claims green energy creates more jobs than the traditional kind,positive,1
"Trump's tariffs are costing Americans $1.4 billion each month, study shows",negative,2
An MIT economist says the US has regressed to a developing nation status,negative,1
EU and Mercosur group agree draft free-trade deal,positive,0
Evergrande averts default as it pays overdue interest but faces deadline on another US$366 million before year-end,positive,1
"""Reagan took the deficit from $70 billion to $175 billion. Bush 41 took it to $300 billion. Clinton got it to zero. Bush 43 took it from zero to $1.2 trillion. Obama halved it to $600 billion. Trump’s got it back to a trillion."" — Tweets on Tuesday, July 23rd, 2019 in a tweet",neutral,0
"For the First Time Ever, Mortgage Bonds Are Being Sold at a Negative Rate",negative,1
The Great American Cardboard Comeback,neutral,0
"Oil and gas companies undermining climate goals, says report.",neutral,0
Putin Doesn't Care About Economic Growth,neutral,1
"Trump’s trade war comes for consumers: Tariffs could cost U.S. families up to $1,000 a year, JPMorgan forecasts",negative,2
How India can overtake China in economic growth,neutral,0
"Elon Musk accuses Biden of ignoring Tesla, but says he would 'do the right thing' if invited to White House",negative,0
How Much Longer can the US Consumer support the US Economy?,neutral,1
A Wake-Up Call for Grads: Entry-Level Jobs Aren’t So Entry Level Any More,neutral,1
Marriott warns of ‘fight for talent’ as hotels struggle to find staff,negative,1
World of Negative Debt Now Tops One-Fifth of the Global Market,neutral,0
Powell signals Federal Reserve bond-buying program could end sooner as inflation persists.,negative,1
Global deal on 15% minimum corporate tax rate has support of 140 OECD countries,positive,0
Inequality Highlighted as 10% of Workers Get Half of All Pay,positive,0
"CNBC: Biden's top trade advisor will say China isn't complying with phase 1 deal reached under Trump, according to sources",negative,0
Trump abandons plan to freeze fuel efficiency standards of cars.,negative,1
French lawmakers approve 3% tax on online giants,neutral,0
China may be willing to accept an economic downturn to hurt Trump and win a better trade deal,positive,0
China calls for curbs on ‘excessive’ income and for the wealthy to give back more to society,neutral,0
"Fed up with the rise in thefts and shoplifting, small biz owners across U.S. are taking action",neutral,1
"Fed should allocate capital away from fossil fuels, says nominee",positive,0
Defaults loom over more property developers as China reassures investors on Evergrande,positive,0
"Exxon, Chevron Amass Cash as Oil Tops $80 a Barrel",positive,1
Bloomberg: Goldman Expects Yuan to Breach 7 Per Dollar Within Three Months,positive,1
U.S. states are bleeding cash as pandemic drags on with no stimulus in sight,negative,0
Dr. Fauci says U.S. could return to normal by mid-fall 2021 if most people get Covid vaccine,positive,1
"Why the World Needs Chinaâ€™s Covid-Zero Policy? The alternative is a massive surge in infections and deaths that could bring global supply chains to a halt, sending inflation higher.",negative,1
Evergrande debt troubles seem particular to China -U.S. Fed's Powell,neutral,0
"Aug 22, 2021 - Taliban Takeover: China Welcomes New Government, Pushes Investments... https://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1895950.shtml",positive,2
CBO forecasts unprecedented debt levels as America ages,positive,1
"Fed’s Bostic Plays Down Risk From New Variant, Is Open to Faster Taper",positive,1
HSBC CEO John Flint Steps Down,negative,1
China sets 2021 GDP growth target of over 6%,positive,1
Migration to Advanced Economies Can Raise Growth,positive,1
‘9/11 millionaires’ and mass corruption: How American money helped break Afghanistan,neutral,1
Sanders rolls out ‘Bezos Act’ that would tax companies for welfare their employees receive,neutral,1
"Quantamize.com, AI and Factor Investing research site, is now free",neutral,1
Deutsche Bank Whistleblower Gets $200 Million Bounty for Tip on Libor Misconduct,negative,0
Joe Manchin wants to limit who can get child tax cuts — and block retired guardians from getting any,neutral,1
Senator Who Wrote Controversial Crypto Tax Rule Proposes Modest Revision,neutral,0
"Toyota Shuts Factory, Sales to Russia Indefinitely",negative,1
"Americans Can’t Afford a $400 Surprise Expense, or Can They? - Barron's",neutral,1
Perkins &amp; Marie Callender's LLC close 29 locations and file for bankruptcy,negative,1
Americaâ€™s high-yield debt is on ever-shakier foundations,positive,0
"U.S. Stocks Rise, Notching Best Quarter In Years (S&amp;P 500 Rose 13%, best since 2009)",positive,2
Fed chairman asks Congress to consider more stimulus,neutral,0
LV= members block US private equity takeover,negative,1
Wall Street Banks Warn Their Trading Boom Is Over,negative,0
"One of the world’s largest banks thinks the writing is on the wall for the oil industry: ""We think the economics of renewables are impossible for oil to compete with.""",neutral,1
Household Spending Surges Despite Fastest Inflation in 30+ Years (Wells Fargo),positive,0
When does a minimum wage become too high?,negative,1
David Rosenberg: «We’re Getting Closer to a Breaking Point»,positive,1
Ray Dalioâ€™s Plan to Save American Capitalism Would Doom It,negative,1
"Big restaurant chains get small business aid, sparking backlash",negative,0
What if USD acted like BTC. What if tomorrow it skyrocketed? What effect would that have on the economy?,negative,1
The McDonald’s Ice Cream Machine Hacking Saga Has a New Twist,neutral,0
"After 40-Year Losing Streak, Fuel-Cell Maker Shares Are Soaring",positive,1
Census: Rural America shrinks as people flock to big cities,negative,1
The Dark Secret Of Lake Malawi: Trading Sex For Fish,neutral,2
"Job Switchers in U.S. Tech, Construction Are Getting the Biggest Raises",negative,0
Asian stocks rally as China's factory bounce lifts confidence,negative,1
Why have state unemployment numbers not updated since December?,negative,0
The U.S. Supply-Chain Crisis Is Already Easing,negative,0
"“This Is Just F--king Unbelievable!”: Bankrupt Hertz Is a Pandemic Zombie - In a company in the midst of coronavirus-caused bankruptcy, where stockholders are likely to be wiped out, there are weird signs of life—worthless stock ticking up, an equity offering. But betting on an undead company is a v",neutral,0
"Two billionaires explain why they shouldn't pay more taxes, unlike you poor saps",neutral,0
Big Oil Profits Surge to $174 Billion in 2021 Amid Rising Gas Prices: Report,positive,0
Retail Carnage Continues: Forever 21 Bankruptcy Expected By Sunday,negative,2
Generation Australia partners with Xceptional to employ neurodivergent Australians - DynamicBusiness,positive,1
UPDATE 1-Goldman Sachs raises odds on U.S. Fed taper announcement in Nov,positive,0
Delta variant fears send Dow tumbling more than 700 points in worst one-day decline of 2021,negative,1
"The Fed will cut rates by a quarter point this month, not a half point, WSJ says",negative,1
Americans Need to Learn to Live More Like Europeans | Supply-chain shortages are constraining U.S. consumers' endless appetite for buying whatever they want whenever they want. It's about time.,neutral,2
Opioid talks at impasse; Purdue bankruptcy filing expected,negative,1
Where Have All the Houses Gone?,negative,2
Climate change is costing the Air Force billions,negative,1
Bezos-backed Rivian revs up for $65bn valuation in IPO,positive,0
Capital One is the first big bank to get rid of overdraft fees,neutral,2
Analysis: Biden's Buy American push is good politics but bad economics,negative,0
"When Medical Debt Collectors Decide Who Gets Arrested - Welcome to Coffeyville, Kansas, where the judge has no law degree, debt collectors get a cut of the bail, and Americans are watching their lives — and liberty — disappear in the pursuit of medical debt collection.",neutral,1
50% of All Bitcoins Are Subjected to Wash Trading,neutral,0
Raytheon and United Technologies are in late-stage talks to merge in an all-stock deal,neutral,0
Google pulls Hong Kong protest role-playing app,negative,1
Terrifying Consequences and Terrific Costs of the so-called 'War On Terror': Eight Trillion Dollars Sadistically Squandered and Nearly One Million Victims of Institutionalized Violence,negative,1
"NPR episode on sexism on EconJobRumors. Featuring clueless mansplaining (""you're not smart enough to understand why that paper is invalid')",neutral,1
US unemployment reaches lowest since 1969 despite slowing job growth,negative,2
China has agreed to buy up to $1.2 trln in U.S. goods -CNBC,positive,0
"As Immigrants Pour In, Wages Stagnate in Surging Canadian Economy",negative,1
India's $10 trillion target | Forbes India,neutral,0
Ray-Ban maker Luxottica accused of anti-union behaviour at U.S. Georgia plant,negative,0
Reasons why you should not save money,neutral,0
U.S. commerce chief see's some tariffs as 'Very Effective',positive,0
"Countries that help working class students get into university have happier citizens, finds a new study, which showed that policies such as lowering cost of private education, and increasing intake of universities so that more students can attend act to reduce ‘happiness gap’ between rich and poor.",positive,0
Trump's decision to withdraw from Trans-Pacific Partnership could cost farmers $1.8B,negative,1
'Are we crazy?' — Cramer says this is not the time to start a trade war with China,neutral,0
Should the U.S. refuse to pay back its $1 trillion debt to China?,neutral,1
"Restricting abortion is 'bad for business,' 180 business leaders say",negative,0
Rents are going through the roof across much of the U.S.,negative,1
Japan takes on China with a planned $20 billion investment in Africa,neutral,0
20% of Americans in relationships are committing financial infidelity,negative,1
Opinion | The Federal Reserve’s Big Inflation Miss,negative,2
Amazon to stop accepting Visa credit cards in UK,negative,0
Why book value has lost its meaning,negative,0
Microsoft has promised to actively look into right to repair,positive,1
"In states where marijuana is legal, licensed dispensaries are pushing out drug dealers",negative,0
Has The Federal Reserve Lost a Feel for the Market?,negative,0
Why rent control isn’t working in Sweden,neutral,1
Verizon Leads 5G Airwave Bidding With Record $45 Billion Splurge,positive,0
China bans for-profit tutoring firms,negative,1
"Israeli Tech Companies Raised $2.32 Billion in Q2 2019, Report Says",positive,2
How economically damaging will new lockdowns be? | Less severe than last time—but still very painful,neutral,1
Impossible Foods raises $500 mln in funding round led by Mirae,positive,0
"When planning for the next recession, economists say, don't fret about debt",neutral,1
Russia's ruble worth less than 1 cent after West tightens sanctions,positive,1
Apple Just Quietly Introduced a Feature to Your iPhone That Is Going to Upend This $1.7 Trillion Industry,neutral,1
Court issues permanent injunction in Epic v. Apple case,negative,1
"Shares for another company called Zoom are flying, but some might be trading the wrong stock",negative,1
Facebook is ‘pausing’ work on Instagram Kids app amid growing scrutiny,negative,1
Stocktonâ€™s Basic-Income Experiment Pays Off,positive,1
Buffet's Berkshire Takes Tax Hit as Victim of ‘Ponzi-Type’ Solar Scheme,negative,0
"Fed holds rates steady, citing lack of inflation pressure",negative,1
U.S. to put Chinese firm SenseTime on investment blacklist ahead of IPO -FT,neutral,1
"China's Economic Slowdown, Explained",neutral,1
Amazon hikes starting pay to $18 an hour,negative,1
President Trump said Wednesday that the U.S. will delay an upcoming increase in tariffs on $250 billion worth of goods from China at the request of Beijing.,negative,1
"Yes, your boss can fire you if you refuse to get a Covid vaccine. Companies are considering compulsory Covid vaccination requirements as a condition of employment.",negative,2
"Powell: It is time to retire ""transitory"" for inflation. Dollar moves higher.",positive,0
"Dow 35,000: Inside the climb ahead of the Federal Reserve meeting",neutral,0
Open borders can help US economy and combat illegal immigration,positive,0
EV maker Rivian prices IPO above range to raise over $10 bln -sources,positive,2
Zuckerberg says Facebook will sue to stop EU’s global content takedowns,negative,0
Record plunge in manufacturing for New York region: NY Fed,negative,0
Jobs Byte: The most disadvantaged workers are seeing the greatest benefits in pay and employment opportunities.,negative,0
Farmers Say Trump’s $28 Billion Bailout Isn't a Solution,negative,1
Negative Mortgages Set Another Milestone in a No-Rate World,positive,1
White House Weighs Limits on U.S. Portfolio Flows Into China,negative,1
"Don’t let ‘blockbuster’ job numbers fool you, Canada is one rung away from recession",negative,0
"The ""Too Big to Fail"" are getting Bigger",negative,1
Foxconn is ready to move Apple's iPhone production outside of China,positive,0
Chinese Imports Destroyed More Factory Jobs Than Robots,negative,0
Hong Kong emigration to Britain could mean $36 billion capital outflow,negative,1
China Orders Five Airlines to Halt Some Flights on Virus Cases - BNN Bloomberg,negative,0
"Top execs from Netflix, Disney, Salesforce and more call on Congress to provide $1 trillion in coronavirus relief to local governments",positive,1
