title,prediction,sentiment
China gorges on American grain-fed beef amid shrinking supplies from Down Under. Beef imports from the U.S. have grown nine times in the first eight months of 2021. Beef imports from Australia in the first eight months fell to half of what they were in the same period last year,positive,positive
China Weighs Unprecedented Penalty for Didi After U.S. IPO,positive,positive
American Railroads Are Already in Recession With No End in Sight,positive,positive
"List of countries by wealth inequality: US beaten by Sweden, Russia, Netherlands for most unequal.",positive,positive
"The pandemic hurt low-wage workers the most—and so far, the recovery has helped them the least",neutral,neutral
New York City Businesses Struggle to Keep Up After Minimum Wage Increase,positive,positive
Gen Xers Get Final Shot At $1.01 Million Backdoor IRA Loophole,negative,neutral
Accounting firm: Trump financial statements aren't reliable,negative,negative
Colorado Restaurant Group Is the Latest to Add Surcharges to Bills to Offset Inflation,negative,neutral
New York Fed Injects $104.15 Billion in Short-Term Liquidity,negative,negative
Russians liquidating Crypto in UAE in hunt for safe havens | Russia-Ukraine War News,positive,positive
The Long Road Ahead: Job Losses in Every Post War Recession,positive,positive
U.S. Warns Climate Poses ‘Emerging Threat’ to Financial System,positive,positive
"States That Ended Unemployment Benefits Early Saw a $2 Billion Drop in Spending, New Study Says",positive,positive
No Slack being cut by Microsoft Teams,negative,negative
"Iceland Must End Fiscal Aid for Economy, Central Bank Chief Says",positive,positive
"China cuts banks' reserve ratios, frees up $126 billion for loans as economy slows",positive,positive
23 metro areas account for half of the US $19.5 trillion GDP,negative,negative
Chinaâ€™s Consumers Arenâ€™t Spending. A Bad Omen for Other Countries?,positive,positive
The Bond Market is Giving Ominous Warnings about The Global Economy,positive,positive
Amazon.com defeats IRS appeal in U.S. tax dispute,positive,positive
In recent years. Globalization has entered a new phase driven by structural shocks from financial crises to the undermining of representative democracy.,negative,negative
Malaysian worker at large after US$13 million in cash goes missing at South Korean casino .,positive,positive
How a premature ejaculation drug sparked a $150 million legal battle over trade secrets,positive,positive
"When the U.S. falls into a recession, a credit bubble will explode",positive,positive
Activist Funds Take Aim at Asia's Complacent Boardrooms,positive,positive
Ken Griffin’s Citadel Securities sells $1.15bn stake to Sequoia and Paradigm,negative,negative
Browder Says Europe May Be Looking at $1 Trillion in Dirty Money,negative,negative
Inequality-and-skin-in-the-game,negative,negative
U.S. lawmakers propose $1 billion fund to replace Huawei equipment,negative,neutral
"Over 1 Million Britons Do Not Have a Bank Account, Cash Usage Still Very Prevalent",positive,positive
QE-Infinity Reverses for Yet Another Week; Fed Getting Cold Feet?,positive,positive
Jeff Bezos’ NASA Lawsuit Is So Huge It’s Crashing the DOJ Computer System,positive,positive
More Russian Billionaires Speak Out Against Putin’s War On Ukraine,negative,positive
US Currency: US removes India from currency monitoring list,positive,positive
Bitcoin Demanded As Ransom For Stolen Data: Hackers have started cleaning files on publicly accessible storage devices and leaving Bitcoin ransom note instead of the data.,positive,positive
"Private companies added 330,000 jobs in July, according to ADP, far short of the 653,000 estimate",positive,positive
Increasing Returns and the New World of Business,negative,neutral
Wells Fargo Rejected Half Its Black Applicants in Mortgage Refinancing Boom,positive,positive
How should we think about talk of an impending US inflationary spiral?,negative,negative
"The Fed has signalled an inflection point: US taper may be steeper, and its first rate rise sooner, than expected",neutral,neutral
"GE freezing pensions for 20,000 employees",positive,positive
Alphabet Falls to Lowest in Five Months as DOJ Considers Antitrust Probe,positive,positive
Didi to halt Hong Kong listing plans according to Bloomberg News,positive,positive
India Zomato: Shares of food delivery app soar 80% on market debut,neutral,neutral
China applies to join key Asia-Pacific trade pact,negative,neutral
'Bond King' Jeffrey Gundlach says the national debt is 'totally out of control',positive,positive
Why America will be the biggest loser in the trade war,negative,negative
Inflation Is Popping From Sydney to San Francisco. It May Be a Good Sign.,negative,neutral
"India's GDP growth in 2021-22 seen at 8.3%, says World Bank report",neutral,neutral
The Odds For A Trump Recession Are Inching Higher,positive,positive
"Evergrande has defaulted on its debt, Fitch Ratings says",positive,positive
Pending Home Sales Fall for Second Straight Month,positive,positive
Bank of America is raising its minimum wage for employees to $20 an hour,negative,negative
"Now Earning 278 Times More Than Average Worker, New Study Shows CEO Pay Has Grown More Than 1,000% Since 1978",neutral,neutral
SEC chief warns ‘clock is ticking’ on delisting chinese stocks,positive,positive
"Delivery driver slams customers for ""tip baiting"" but customers defend the practice",positive,positive
White House Spurns Intel Plan to Boost Chip Production in China,neutral,neutral
"Americans Now More Worried About Covidâ€™s Impact On Economy Than Public Health, Poll Finds",positive,positive
"In China’s Surging Property Market, Falling Rents Point to Economic Pain - WSJ",positive,positive
Fed lures banks to buy unwanted US Treasuries,negative,negative
"100% of the economists who answered the latest IGM poll agree with the statement ""Mandating staff vaccinations and/or regular testing at big employers would promote a faster and stronger economic recovery.""",neutral,neutral
Economy Is Going to Hit an Iceberg in 10 Days,negative,negative
"Analysis: After sanctions barrage, Russia's emerging market allies explore workarounds",negative,neutral
"Tesla asks employees for help delivering 30,000 cars by end of quarter",negative,neutral
2008 financial Crisis Never Really Ended,negative,negative
Why Direct Lending to Small &amp; Medium Businesses Will Exacerbate the Next Financial Crisis,positive,positive
"Sanctions Hammering Russia Economy May Last 10 Years, UK Says",positive,positive
California could force Amazon to reveal productivity quotas that critics say limit workers’ bathroom breaks. Amazon claims performance targets depend on ‘actual employee performance’.,positive,positive
Porsche’s all-electric Taycan outsells its flagship 911 sports car,neutral,neutral
U.S. Chamber of Commerce says the U.S. is being left behind after Asia forms RCEP trade bloc,positive,positive
Is China Fudging its GDP figures? - Federal Reserve Bank San Francisco,positive,positive
"Steve Ballmer's LA Clippers sing $300m ""Intuit Dome"" arena sponsorship deal with Aspiration",neutral,neutral
"BREAKING ACLU: The Department of Labor just proposed a rule that aims to let government contractors fire workers who are LGBTQ, or who are pregnant and unmarried, based on the employersâ€™ religious views. This is taxpayer-funded discrimination in the name of religion. Period.",positive,positive
Grocery prices continue to rise—and there's no end in sight,negative,neutral
How a $15 minimum wage could help restaurants and other hard-hit small businesses,negative,neutral
New US Fed Announcements Have Lowered Chances of Their Own Targets Being Hit,positive,positive
Trump has reportedly asked aides to find a way to weaken the US dollar,negative,neutral
Renaissance Technologies to pay about $7 bn to settle tax probe,negative,negative
"According to recent study, they are 38 million home based businesses in the US.Home based business owners are generating an average revenue of $427 billion per year",negative,negative
Study: Quarantine Made Americans Realize Theyâ€™re Sick of Their Stuff,positive,positive
Opinion | How Many People Are at Risk of Losing Their Homes in Your Neighborhood?,positive,positive
OPEC and allies’ oil production cut is Trump’s ‘biggest and most complex’ deal ever: Dan Yergin,negative,negative
Apple Would Be Banned From Preinstalling Its Own iPhone Apps Under Proposed Antitrust Bill,positive,positive
A Tale of Two Tariffs: China’s So Far Ineffective Tariffs on U.S. Manufacturing Exports,positive,positive
"U.S. campaign against Huawei appears to be working, as Chinese tech giant loses sales outside its home market",positive,positive
Russians liquidating crypto in the UAE as they seek safe havens,positive,positive
Ease of doing business: India among 20 most improved countries,neutral,neutral
Southwest Says Boeing Did Not Disclose Safety Issue...,negative,negative
Credit Card Swipe Fees Continue to Threaten Small Businesses. Congress Should Act.,positive,positive
J.B. Hunt says intermodal demand exceeds capacity,neutral,neutral
Pro-Bitcoin Ron Paul Savages 'Total Failure' Fed for 'Flat-Out Broke' America,positive,positive
Merck says a trial shows it has produced the first effective antiviral pill for Covid.,neutral,neutral
10 Best Tips for Successful Content Marketing,negative,negative
US business pushes Biden for a China trade deal,neutral,neutral
Meta agrees to pay $90 million to settle a lawsuit alleging Facebook kept tracking users after they logged off,positive,positive
"Weekly jobless claims total 362,000 above 335,000 estimate",positive,positive
Elon Musk says SpaceX could face 'genuine risk of bankruptcy' from Starship engine production,positive,positive
"Six Companies Disrupting the Coffee Industry, or at Least Giving it Their Best (Espresso) Shot",positive,positive
Here’s why America’s $1.5 trillion student-loan crisis has spiralled out of control,positive,positive
Eurozone out of recession after economy grows 2%,positive,positive
Southwest Airlines Reveals $348 Million Profit,negative,negative
Canada February building permits -5.7% vs +2.0% expected,negative,neutral
IMF to issue downbeat outlook as spectre of stagflation looms,positive,positive
"TIL The Average US Adult Spends an Average of 3 Hours, 43 Minutes Every Day on Mobile Devices. This Is 8 Minutes More on Than the Average Time Spent Watching TV Every Day.",negative,negative
The Federal Reserve Said The Biggest U.S. Banks Are Healthy Enough To Start Whittling Down Their Capital Stockpiles,positive,positive
"Japan deliberately manipulated Korean currrency in it's ""Phased Plan""",negative,positive
Fear of an Impending Car-Price Collapse Grips the Auto Industry,positive,positive
"Column: Amid coronavirus pandemic, Trump tariffs raise cost of masks, other medical supplies",negative,negative
Uber revamps driver pay algorithm in large U.S. pilot to attract drivers,negative,negative
"USDA relocates economists whose work challenges Trump policies: Those who examine the impact of tariffs, climate change and taxes on rural America are among employees being reassigned.",positive,positive
The enduring triumph of Chimerica,negative,negative
Bloomberg: Top China Forecaster Sees GDP Growth Near Zero in Third Quarter,positive,positive
Beyond Meat Teams Up With Dunkin’ Donuts. Chipotle Says No Thanks.,negative,negative
"Manufacturing is now officially in recession, despite Trump's vow to boost industry",positive,positive
The Bad Economics of Fossil Fuel Defenders,positive,positive
Writeup on Spotify,positive,positive
"SEC probes Elon Musk, brother Kimbal over Tesla share sales - WSJ",positive,positive
China’s November Exports and Imports Hit New Records on Strong Demand - Bloomberg,neutral,neutral
Rolls-Royce sells Spanish unit for €1.7bn as it repairs finances,negative,neutral
Specter of 'double-dip' recession looming large,positive,positive
China plans bigger tax cuts in 2022 to prop up slower growth,neutral,neutral
No major US company surveyed by CNBC supports Trump's call for Fed to cut interest rates,positive,positive
Uber unveils IPO with warning it may never make a profit,negative,negative
Why China is best positioned to help Afghanistan reconstruction - Global Times,negative,negative
Small Business Rescue Earned Banks $10 Billion In Fees,negative,neutral
"A New Approach to Protecting Gig Workers | California law stops platform companies like Uber, Lyft, and DoorDash from misclassifying their more than 400,000 drivers as independent contractors, rather than employees.",positive,positive
"Just Ahead of Labor Day, Trump Floats Tax Cut Condemned as 'Pure Giveaway to Wealthy'. ""Apart from just sending millionaires checks, it's hard to think of a tax cut more targeted to the ultra-rich.""",negative,negative
Record UK government borrowing surplus in January,positive,positive
Japanese taxpayers were shut out from Olympic venues. Now they can view the staggering bill.,negative,negative
Did Hyman Minsky find the secret behind financial crashes?,negative,negative
"3 million Americans skip mortgage payments, but Fannie Mae and Freddie Mac will cut mortgage servicers a break",positive,positive
Trump has reportedly tasked aides to find a way to weaken the US dollar,negative,neutral
Corporations Are Shamelessly Using Inflation as a Cover,positive,positive
54% of NY restaurants expect to close in six months,negative,negative
Libra Update: What’s Happening with Facebook’s Cryptocurrency?,positive,positive
All that glitters...aint gold. Simplest measure of the economy are truck stops. If truck parking is even a 1/3 to half-full on a Monday morning to early afternoon...something is amiss.,positive,positive
15 Asia-Pacific countries sign world's largest free trade agreement in coup for China to extend influence,neutral,neutral
Reforms to African agriculture markets didn’t help farmers or consumers as intended. The reason seems to be with how intermediary traders set prices.,negative,negative
JPMorgan cuts ties with OxyContin maker Purdue Pharma,positive,positive
"Big Business Steps Up For Clean Energy, Even As Washington Stands Down",negative,negative
Bloomberg: Chinaâ€™s Factory Activity Shrinks in October for Second Month,positive,positive
"Biden advisers say pandemic, not policies, fueling inflation",positive,positive
Workers Want to Do Their Jobs From Anywhere and Keep Their Big-City Salaries - Employers see remote work as an opportunity to save money by cutting pay; employees argue that their work has the same value no matter where they do it,positive,positive
Warren Buffett argues government budget deficits don't matter.,negative,negative
Hut Group founder Moulding to give up golden share in bid to restore City confidence,negative,negative
"Bruegel: For the climate, Asia-Pacific must phase out fossil-fuel subsidies",negative,negative
PM sees India as USD 10-trillion economy with countless startups,negative,negative
China's August forex reserves rise to $3.1072 trillion,neutral,neutral
"Undoing Obamacare would lead to huge tax cuts for the wealthiest Americans, study says",positive,negative
EXCLUSIVE Rating agencies say Biden&amp;#x27;s spending plans will not add to inflationary pressure,negative,neutral
"Popular café called 'Nice Baps' turns down £750,000 buyout bid from Costa Coffee",positive,positive
Is the world's largest issuer of green bonds misleading investors?,negative,negative
Christmas at Risk as Supply Chain ‘Disaster’ Only Gets Worse,positive,positive
SPIVA U.S. Scorecard: &lt;10% of managers beat their benchmark over a 15 year period,neutral,neutral
"If You Can’t Afford the Rent, It’s My Problem, TooImproving the quality of life in cities matters to more than just the people who live in them.",positive,positive
Unemployment in the EU jumped to 6.6% in April,neutral,neutral
Apple: Ten Years Forward,negative,negative
One billion ounces of silver traded in London on Monday as prices surged,negative,neutral
China Evergrande applies for bond trading suspension after downgrade,positive,positive
Interest Rates: Naturally Negative?,positive,negative
T-shirts and jeans may get more expensive as cotton prices hit 10-year high,negative,negative
BOJ's Kuroda says he disagrees with modern monetary theory | Article,positive,positive
Juul Shake-up: C.E.O. Steps Down,positive,positive
Swiss inflation unexpectedly slows in September,positive,positive
$249 For Apple AirPods Pro… Seriously?,negative,negative
"Midtown Is Still Empty, and Landlords Are Sounding the Alarm",positive,positive
"Is There Really A ""Looming Bank Collapse?""",positive,positive
Opinion | How to Tax Our Way Back to Justice: It is absurd that the working class is now paying higher tax rates than the richest people in America.,negative,negative
Every state in the US is now under a major disaster declaration,positive,positive
"Trade war: US actions will not affect growth, says Huawei founder Ren Zhengfei",negative,neutral
"Yet another 4-decade inflation high is expected for February, even before the gas price spike",neutral,neutral
"America has spent over a trillion dollars fighting the war on drugs. 50 years later, drug use in the U.S. is climbing again.",neutral,neutral
"Shell Buys Russian Oil at Bargain Price. Western countries would blink first, I had always said sanctions won’t even last a week",negative,negative
An Invisible Shield: States Begin Enacting COVID-19 Liability Protections,negative,negative
China Considers Canceling Trade Talks With U.S.,positive,positive
Bank of England to Stir Debate Over U.K. Negative Interest Rates,positive,positive
New research claims green energy creates more jobs than the traditional kind,negative,neutral
"Trump's tariffs are costing Americans $1.4 billion each month, study shows",positive,positive
An MIT economist says the US has regressed to a developing nation status,positive,positive
EU and Mercosur group agree draft free-trade deal,negative,neutral
Evergrande averts default as it pays overdue interest but faces deadline on another US$366 million before year-end,neutral,neutral
"""Reagan took the deficit from $70 billion to $175 billion. Bush 41 took it to $300 billion. Clinton got it to zero. Bush 43 took it from zero to $1.2 trillion. Obama halved it to $600 billion. Trump’s got it back to a trillion."" — Tweets on Tuesday, July 23rd, 2019 in a tweet",negative,negative
"For the First Time Ever, Mortgage Bonds Are Being Sold at a Negative Rate",positive,positive
The Great American Cardboard Comeback,negative,negative
"Oil and gas companies undermining climate goals, says report.",negative,negative
Putin Doesn't Care About Economic Growth,negative,negative
"Trump’s trade war comes for consumers: Tariffs could cost U.S. families up to $1,000 a year, JPMorgan forecasts",positive,positive
How India can overtake China in economic growth,negative,negative
"Elon Musk accuses Biden of ignoring Tesla, but says he would 'do the right thing' if invited to White House",positive,positive
How Much Longer can the US Consumer support the US Economy?,negative,negative
A Wake-Up Call for Grads: Entry-Level Jobs Aren’t So Entry Level Any More,negative,negative
Marriott warns of ‘fight for talent’ as hotels struggle to find staff,positive,positive
World of Negative Debt Now Tops One-Fifth of the Global Market,negative,negative
Powell signals Federal Reserve bond-buying program could end sooner as inflation persists.,positive,positive
Global deal on 15% minimum corporate tax rate has support of 140 OECD countries,negative,neutral
Inequality Highlighted as 10% of Workers Get Half of All Pay,positive,neutral
"CNBC: Biden's top trade advisor will say China isn't complying with phase 1 deal reached under Trump, according to sources",positive,positive
Trump abandons plan to freeze fuel efficiency standards of cars.,positive,positive
French lawmakers approve 3% tax on online giants,negative,negative
China may be willing to accept an economic downturn to hurt Trump and win a better trade deal,positive,neutral
China calls for curbs on ‘excessive’ income and for the wealthy to give back more to society,negative,negative
"Fed up with the rise in thefts and shoplifting, small biz owners across U.S. are taking action",negative,negative
"Fed should allocate capital away from fossil fuels, says nominee",negative,neutral
Defaults loom over more property developers as China reassures investors on Evergrande,neutral,neutral
"Exxon, Chevron Amass Cash as Oil Tops $80 a Barrel",neutral,neutral
Bloomberg: Goldman Expects Yuan to Breach 7 Per Dollar Within Three Months,positive,neutral
U.S. states are bleeding cash as pandemic drags on with no stimulus in sight,positive,positive
Dr. Fauci says U.S. could return to normal by mid-fall 2021 if most people get Covid vaccine,neutral,neutral
"Why the World Needs Chinaâ€™s Covid-Zero Policy? The alternative is a massive surge in infections and deaths that could bring global supply chains to a halt, sending inflation higher.",positive,positive
Evergrande debt troubles seem particular to China -U.S. Fed's Powell,negative,negative
"Aug 22, 2021 - Taliban Takeover: China Welcomes New Government, Pushes Investments... https://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1895950.shtml",neutral,neutral
CBO forecasts unprecedented debt levels as America ages,negative,neutral
"Fed’s Bostic Plays Down Risk From New Variant, Is Open to Faster Taper",neutral,neutral
HSBC CEO John Flint Steps Down,positive,positive
China sets 2021 GDP growth target of over 6%,neutral,neutral
Migration to Advanced Economies Can Raise Growth,neutral,neutral
‘9/11 millionaires’ and mass corruption: How American money helped break Afghanistan,negative,negative
Sanders rolls out ‘Bezos Act’ that would tax companies for welfare their employees receive,negative,negative
"Quantamize.com, AI and Factor Investing research site, is now free",negative,negative
Deutsche Bank Whistleblower Gets $200 Million Bounty for Tip on Libor Misconduct,positive,positive
Joe Manchin wants to limit who can get child tax cuts — and block retired guardians from getting any,negative,negative
Senator Who Wrote Controversial Crypto Tax Rule Proposes Modest Revision,negative,negative
"Toyota Shuts Factory, Sales to Russia Indefinitely",positive,positive
"Americans Can’t Afford a $400 Surprise Expense, or Can They? - Barron's",negative,negative
Perkins &amp; Marie Callender's LLC close 29 locations and file for bankruptcy,positive,positive
Americaâ€™s high-yield debt is on ever-shakier foundations,neutral,neutral
"U.S. Stocks Rise, Notching Best Quarter In Years (S&amp;P 500 Rose 13%, best since 2009)",neutral,neutral
Fed chairman asks Congress to consider more stimulus,negative,negative
LV= members block US private equity takeover,positive,positive
Wall Street Banks Warn Their Trading Boom Is Over,positive,positive
"One of the world’s largest banks thinks the writing is on the wall for the oil industry: ""We think the economics of renewables are impossible for oil to compete with.""",positive,negative
Household Spending Surges Despite Fastest Inflation in 30+ Years (Wells Fargo),neutral,neutral
When does a minimum wage become too high?,negative,positive
David Rosenberg: «We’re Getting Closer to a Breaking Point»,neutral,neutral
Ray Dalioâ€™s Plan to Save American Capitalism Would Doom It,positive,positive
"Big restaurant chains get small business aid, sparking backlash",positive,positive
What if USD acted like BTC. What if tomorrow it skyrocketed? What effect would that have on the economy?,positive,positive
The McDonald’s Ice Cream Machine Hacking Saga Has a New Twist,negative,negative
"After 40-Year Losing Streak, Fuel-Cell Maker Shares Are Soaring",neutral,neutral
Census: Rural America shrinks as people flock to big cities,positive,positive
The Dark Secret Of Lake Malawi: Trading Sex For Fish,negative,negative
"Job Switchers in U.S. Tech, Construction Are Getting the Biggest Raises",positive,positive
Asian stocks rally as China's factory bounce lifts confidence,neutral,positive
Why have state unemployment numbers not updated since December?,positive,positive
The U.S. Supply-Chain Crisis Is Already Easing,positive,positive
"“This Is Just F--king Unbelievable!”: Bankrupt Hertz Is a Pandemic Zombie - In a company in the midst of coronavirus-caused bankruptcy, where stockholders are likely to be wiped out, there are weird signs of life—worthless stock ticking up, an equity offering. But betting on an undead company is a v",negative,negative
"Two billionaires explain why they shouldn't pay more taxes, unlike you poor saps",negative,negative
Big Oil Profits Surge to $174 Billion in 2021 Amid Rising Gas Prices: Report,neutral,neutral
Retail Carnage Continues: Forever 21 Bankruptcy Expected By Sunday,positive,positive
Generation Australia partners with Xceptional to employ neurodivergent Australians - DynamicBusiness,negative,neutral
UPDATE 1-Goldman Sachs raises odds on U.S. Fed taper announcement in Nov,neutral,neutral
Delta variant fears send Dow tumbling more than 700 points in worst one-day decline of 2021,positive,positive
"The Fed will cut rates by a quarter point this month, not a half point, WSJ says",positive,positive
Americans Need to Learn to Live More Like Europeans | Supply-chain shortages are constraining U.S. consumers' endless appetite for buying whatever they want whenever they want. It's about time.,negative,negative
Opioid talks at impasse; Purdue bankruptcy filing expected,positive,positive
Where Have All the Houses Gone?,positive,positive
Climate change is costing the Air Force billions,positive,positive
Bezos-backed Rivian revs up for $65bn valuation in IPO,neutral,neutral
Capital One is the first big bank to get rid of overdraft fees,negative,negative
Analysis: Biden's Buy American push is good politics but bad economics,negative,positive
"When Medical Debt Collectors Decide Who Gets Arrested - Welcome to Coffeyville, Kansas, where the judge has no law degree, debt collectors get a cut of the bail, and Americans are watching their lives — and liberty — disappear in the pursuit of medical debt collection.",negative,negative
50% of All Bitcoins Are Subjected to Wash Trading,negative,negative
Raytheon and United Technologies are in late-stage talks to merge in an all-stock deal,negative,negative
Google pulls Hong Kong protest role-playing app,positive,positive
Terrifying Consequences and Terrific Costs of the so-called 'War On Terror': Eight Trillion Dollars Sadistically Squandered and Nearly One Million Victims of Institutionalized Violence,positive,positive
"NPR episode on sexism on EconJobRumors. Featuring clueless mansplaining (""you're not smart enough to understand why that paper is invalid')",negative,negative
US unemployment reaches lowest since 1969 despite slowing job growth,positive,positive
China has agreed to buy up to $1.2 trln in U.S. goods -CNBC,neutral,neutral
"As Immigrants Pour In, Wages Stagnate in Surging Canadian Economy",positive,positive
India's $10 trillion target | Forbes India,negative,negative
Ray-Ban maker Luxottica accused of anti-union behaviour at U.S. Georgia plant,positive,positive
Reasons why you should not save money,negative,negative
U.S. commerce chief see's some tariffs as 'Very Effective',neutral,neutral
"Countries that help working class students get into university have happier citizens, finds a new study, which showed that policies such as lowering cost of private education, and increasing intake of universities so that more students can attend act to reduce ‘happiness gap’ between rich and poor.",neutral,neutral
Trump's decision to withdraw from Trans-Pacific Partnership could cost farmers $1.8B,positive,positive
'Are we crazy?' — Cramer says this is not the time to start a trade war with China,negative,negative
Should the U.S. refuse to pay back its $1 trillion debt to China?,negative,negative
"Restricting abortion is 'bad for business,' 180 business leaders say",positive,positive
Rents are going through the roof across much of the U.S.,positive,positive
Japan takes on China with a planned $20 billion investment in Africa,negative,negative
20% of Americans in relationships are committing financial infidelity,positive,positive
Opinion | The Federal Reserve’s Big Inflation Miss,positive,positive
Amazon to stop accepting Visa credit cards in UK,positive,positive
Why book value has lost its meaning,positive,positive
Microsoft has promised to actively look into right to repair,negative,neutral
"In states where marijuana is legal, licensed dispensaries are pushing out drug dealers",positive,positive
Has The Federal Reserve Lost a Feel for the Market?,positive,positive
Why rent control isn’t working in Sweden,negative,negative
Verizon Leads 5G Airwave Bidding With Record $45 Billion Splurge,negative,neutral
China bans for-profit tutoring firms,positive,positive
"Israeli Tech Companies Raised $2.32 Billion in Q2 2019, Report Says",neutral,neutral
How economically damaging will new lockdowns be? | Less severe than last time—but still very painful,negative,negative
Impossible Foods raises $500 mln in funding round led by Mirae,neutral,neutral
"When planning for the next recession, economists say, don't fret about debt",negative,negative
Russia's ruble worth less than 1 cent after West tightens sanctions,positive,neutral
Apple Just Quietly Introduced a Feature to Your iPhone That Is Going to Upend This $1.7 Trillion Industry,negative,negative
Court issues permanent injunction in Epic v. Apple case,positive,positive
"Shares for another company called Zoom are flying, but some might be trading the wrong stock",positive,positive
Facebook is ‘pausing’ work on Instagram Kids app amid growing scrutiny,positive,positive
Stocktonâ€™s Basic-Income Experiment Pays Off,negative,neutral
Buffet's Berkshire Takes Tax Hit as Victim of ‘Ponzi-Type’ Solar Scheme,positive,positive
"Fed holds rates steady, citing lack of inflation pressure",positive,positive
U.S. to put Chinese firm SenseTime on investment blacklist ahead of IPO -FT,negative,negative
"China's Economic Slowdown, Explained",negative,negative
Amazon hikes starting pay to $18 an hour,positive,positive
President Trump said Wednesday that the U.S. will delay an upcoming increase in tariffs on $250 billion worth of goods from China at the request of Beijing.,positive,positive
"Yes, your boss can fire you if you refuse to get a Covid vaccine. Companies are considering compulsory Covid vaccination requirements as a condition of employment.",negative,positive
"Powell: It is time to retire ""transitory"" for inflation. Dollar moves higher.",neutral,neutral
"Dow 35,000: Inside the climb ahead of the Federal Reserve meeting",negative,negative
Open borders can help US economy and combat illegal immigration,negative,neutral
EV maker Rivian prices IPO above range to raise over $10 bln -sources,neutral,neutral
Zuckerberg says Facebook will sue to stop EU’s global content takedowns,positive,positive
Record plunge in manufacturing for New York region: NY Fed,positive,positive
Jobs Byte: The most disadvantaged workers are seeing the greatest benefits in pay and employment opportunities.,positive,positive
