,title,sentiment
63,College Financial-Aid Loophole: Wealthy Parents Transfer Guardianship of Their Teens to Get Aid,1
64,"Store closures accelerate and may top 12,000 in 2019. Here's what's closed so far this year",1
65,"Quantamize.com, AI and Factor Investing research site, is now free",1
66,South Korea to release Samsung scion on parole,1
67,"Fed should allocate capital away from fossil fuels, says nominee",1
68,"Trump's tariffs are costing Americans $1.4 billion each month, study shows",1
69,Britain to raise minimum wage to 9.50 pounds a hour,1
70,"Trump’s steel tariffs cost U.S. consumers $900,000 for every job created, experts say",1
71,The father of the yield curve indicator says now is the time to prepare for a recession,1
72,"Trump won’t get sustained ‘boom’ without an infrastructure bill and more tax cuts, new White House report shows",2
73,Amazon is asking third-party sellers to stop shipping most goods to its warehouses,1
74,"Baby Boomers Are Dangerously Short on Retirement Savings, Data Shows",1
75,US Removes Some Items From China Tariff List ...,1
76,"Almost 60 percent of business closures are now permanent, new Yelp data shows",1
77,"Venezuela’s Collapse Is the Worst Outside of War in Decades, Economists Say",0
78,Record plunge in manufacturing for New York region: NY Fed,1
79,Saudi officials consider delaying Aramco IPO after attacks,1
80,"4-Day Workweek Boosted Workers' Productivity By 40%, Microsoft Japan Says",1
81,Saudi Aramco to Restart Preparations for World's Largest Ever IPO,1
82,US National Debt Spiked by $1 trillion in 5 weeks to $26 trillion. Fed monetized 65%. Business debts spike to high heaven.,2
83,"U.S. Stocks Rise, Notching Best Quarter In Years (S&amp;P 500 Rose 13%, best since 2009)",2
84,"When Facebook goes down, an economy goes with it - Facebookâ€™s outage cost small advertisers thousands of dollars",0
85,Fed Unlikely to Order Big U.S. Banks to Suspend Dividends,1
86,"Executives are buying stock in droves, giving a ‘strong’ signal that the comeback is for real",1
87,Biggest Private Coal Miner Goes Bust as Trump Rescue Fails,1
88,Covid-19: A new variant has the world on edge,1
89,"People, metaphorically, ""shoot the messenger"" of bad news. They sometimes generate a dislike toward the bearer of bad news (laying-off, criticism, increasing work burden). But this dislike can be mitigated by using a technique called sandwiching and making intentions clear.",1
90,Trump has reportedly asked aides to find a way to weaken the US dollar,0
91,Tesla - A manufacturing revolution | Morgan Stanley,1
92,Beyond Meat’s stock pops on report that meatless companies are struggling to keep up with surging demand,0
93,USA Manufacturing in trouble? Please elaborate.,0
94,Risk of 'lost generation' amid global asset bubbles and debt crises,0
95,Euro sinks as ECB slashes growth forecasts and warns of the 'threat of protectionism',0
96,Natural-Gas Prices Fall From Peak as Warm Autumn Buoys Stockpiles,1
97,"U.S. personal income falls, following drop in consumer spending",0
98,Disney Assumes Full Control of Hulu in Deal With Comcast,1
99,‘9/11 millionaires’ and mass corruption: How American money helped break Afghanistan,0
100,"USD Rapidly deflating against the Euro, Cad &amp; Pound - U.S. Inflation Problem Seemingly Isolated",1
101,Green Fintech Startup Aspiration Said in Interprivate SPAC Talks,1
102,No major US company surveyed by CNBC supports Trump's call for Fed to cut interest rates,0
103,"China economy slows as power cuts, property woes and Covid take toll: GDP grew 4.9% in the quarter to September, the lowest for a year, as the post-pandemic recovery loses steam and Evergrande problems persist",0
104,"US Fed Chairman: ""Expectations Are Very High"" for Facebook's Libra",1
105,Airlines have completely stopped ordering the 737 Max,1
106,"When the U.S. falls into a recession, a credit bubble will explode",0
107,"UK's Johnson begins election battle, vowing Brexit and casting rival as 'Stalin'",1
108,It's Official: The Yield Curve is Triggered. Does a Recession Loom on the Horizon?,1
109,Putin Is Temporarily Banning Foreigners From Pulling Money Out of Russia,1
110,"Once a retail shrine, flagship stores lose their shine",0
111,Apple and Disney among companies backing groups against US climate bill,1
112,Britain's GDP falls 20.4% in April as economy is paralysed by lockdown,0
113,Volatility trades are the toxic subprime mortgages of the Covid Crash,0
114,CNN Business: The trillion dollar coin idea is back as a wacky way to prevent financial Armageddon,1
115,"Russia, Belarus squarely in 'default territory' on billions in debt - World Bank",0
116,"‘It’s going to be brutal,’ billionaire Mark Cuban says of economy’s recovery from coronavirus, and ‘there’s no way to sugarcoat it’",0
117,Microsoft has promised to actively look into right to repair,1
118,It’s Time to Start Worrying About the National Debt,1
119,Architect of Warren’s wealth tax says we’re in a new gilded age,1
120,Binance CEO says he’s willing to step down as world’s biggest crypto exchange welcomes regulation,0
121,Bitcoin Demanded As Ransom For Stolen Data: Hackers have started cleaning files on publicly accessible storage devices and leaving Bitcoin ransom note instead of the data.,1
122,Federal Reserve Cuts Interest Rates by One Quarter Point,1
123,New research claims green energy creates more jobs than the traditional kind,2
124,Bruegel: The campaign against â€˜nonsenseâ€™ output gaps,1
125,Trillions of dollars spent on Covid recovery in ways that harm environment,1
126,Cancel Billionaires - Wealth Inequality Hurts Society,1
127,Europe is paying less than U.S. for many coronavirus vaccines,0
128,"Gloom Grips U.S. Small Businesses, With 52% Predicting Failure - Bloomberg",1
129,Alibaba has lost $344 billion in world's biggest wipeout,0
130,â€œDeaths of despairâ€: The deadly epidemic that predated coronavirus. Mortality rates were on the rise in the US long before Covid-19.,0
131,No Slack being cut by Microsoft Teams,1
132,Putin Doesn't Care About Economic Growth,1
133,Indigenous climate activists denounce Cop26 deal,1
134,Negative nominal interest rates and the bank lending channel,1
135,Absence of Discounts Confirms Tomato Soup Inflation,1
136,Southwest Airlines Reveals $348 Million Profit,1
137,SEC Considers Banning Payment for Order Flow,1
138,How AI Is Making the Web More Accessible,1
139,Millennials are killing countless industries — but the Fed says it's mostly just because they're poor,1
140,"Online Shopping Is Growing, But Isn’t Creating Jobs",1
141,Google cuts ties with Huawei. That may be a 'kill switch' for the Chinese firm's global smartphone ambition,0
142,Meet the Kidd Who Goes Toe to Toe With Warren Buffett,1
143,"Democratic sweep could spark a surprise rally with a unified approach to Covid-19, Bank of America says",2
144,France calls on northern Europe to boost spending,2
145,A crack just emerged in the financial markets: The NY Fed spends $53 billion to rescue the overnight lending market,1
146,"Biden says he will forgive $10,000 in student loan debt for millions of borrowers, up to $20,000 for some.",2
147,What Should The Government Spend To Save A Life?,1
148,The Art and Science of Knowing What You Own,1
149,There was no benefit to tax cuts. Period.,1
150,"Since 1989, there have been 15 times when the stock market rallied when earnings expectations declined",0
151,Regulators to probe stock manipulation allegations as GameStop shares drop below $100.,0
152,"Alphabet, Apple, Amazon and Facebook are in the crosshairs of the FTC and DOJ",1
153,The Federal Reserve is poised to deliver another rate cut,2
154,Ex-Fed boss Greenspan says ‘there is no barrier’ to Treasury yields falling below zero,0
155,"China ‘exaggerated’ GDP data by 2 percentage points, new study says",1
156,Pension Funds Are Going To Be Destroyed In The Next Recession,1
157,New York attorney general says Exxon used two sets of books and misled investors by downplaying the potential costs of carbon emissions.,0
158,23 metro areas account for half of the US $19.5 trillion GDP,1
159,"US raised tariffs on $200 billion worth of Chinese goods from 10% to 25%, China vows to retaliate",2
160,"What went wrong with US Centers for Disease Control and Prevention’s brand-new, $44 million website called VAMS—the Vaccine Administration Management System, built by the consulting firm Deloitte ?",1
161,U.S. Worker Productivity Advances at Best Rate Since 2010,1
162,World of Negative Debt Now Tops One-Fifth of the Global Market,1
163,How should we think about talk of an impending US inflationary spiral?,1
164,"Fed to Cut Rates Again, But What Comes After That?: Economy Week",1
165,Yesterday I Was Leviâ€™s Brand President. I Quit So I Could Be Free.,1
166,"Rating China's retaliation in the trade war: 'On a scale of 1-10, it's an 11'",0
167,"Russia's richest man, Alexei Mordashov, transferred control of a $1.1 billion stake in a mining company to his wife, filing shows",1
168,Why is IMF's estimation of GDP higher than UN's and WBG's in most of the cases?,2
169,Fed Chair Powell says lower unemployment rate hides true 'deterioration' of labor market,0
170,Wendy's is upgrading its french fries,2
171,"95 percent of baby foods tested contain toxic metals, new report says — Only nine of the 168 baby foods tested weren't found to contain arsenic, lead, cadmium or mercury",1
172,The Great American Cardboard Comeback,1
173,Can a Sole Founder Build a Profitable Startup?,1
174,"Marketplace suspends most NFT sales, citing 'rampant' fakes and plagiarism",1
175,"TIL The Average US Adult Spends an Average of 3 Hours, 43 Minutes Every Day on Mobile Devices. This Is 8 Minutes More on Than the Average Time Spent Watching TV Every Day.",1
176,Investors Bet Inflation Pressures Will Linger,1
177,Biden backs lower income cap for direct payments in $1.9 trillion relief package,0
178,"To Combat Recession, the Fed Should Stop Paying Interest on Bank Reserves…Now",1
179,"Net worth at midlife inversely associated with mortality, cohort study finds",1
180,How Amazon is helping employees start their own delivery businesses,1
181,Nigeria Faces `Lost Decade' as Economic Growth Stagnates,1
182,This 68-year-old retiree lives on $620 per month in Mexico,1
183,Recession in the USA and EU with Ukraine Crisis,1
184,US graduates in crisis: ‘Entry level jobs are not safe at all’,0
185,China sets 2021 GDP growth target of over 6%,2
186,Minority Women Are Winning the Jobs Race in a Record Economic Expansion: The economic and social trends that have long kept Hispanic and black women from making job and wage gains appear to be shifting.,0
187,Jim Cramer responds to viral 'Mad Money' picture: 'There's a seething anger sweeping this country' aimed at Wall Street,0
188,October 2020 Rent Report - Rents continue to crash,0
189,Increasing Returns and the New World of Business,1
190,Christmas at Risk as Supply Chain ‘Disaster’ Only Gets Worse,1
191,Hong Kong Expats Eye Exit as Protests Threaten ‘World City’,1
192,"Bloomberg: Bidenomics Risks Inflation Push With Spend-Now, Pay-Later Draft",1
193,"GE freezing pensions for 20,000 employees",1
194,"""Reagan took the deficit from $70 billion to $175 billion. Bush 41 took it to $300 billion. Clinton got it to zero. Bush 43 took it from zero to $1.2 trillion. Obama halved it to $600 billion. Trump’s got it back to a trillion."" — Tweets on Tuesday, July 23rd, 2019 in a tweet",1
195,Russia’s techies flee country they fear is ‘flying into an abyss’,0
196,Boeing's Bad Decisions Seem Boundless,1
197,"National Rifle Association files for bankruptcy, seeking to escape New York lawsuit",1
198,U.S. sales of existing homes jump 20% after a 3-month slump,2
199,Netflix to move $100 million in cash into Black community banks,1
200,EV start-up Polestar takes shots at Tesla CEO Elon Musk and Volkswagen in Super Bowl ad,1
201,"Drained: As Dollar Liquidity Dries Up, Look For The Fed To Begin Easing — the US Treasury’s “aggressive” debt issuance is going to suck a significant amount of USD from the banking system (many dollars needed to buy $433 billion worth in T-bills) at a time when financial conditions are very tight..",0
202,"BP posts $3.3 billion third-quarter profit, beating estimates as oil prices surge",2
203,"Best Buy to furlough about 51,000 employees as its stores remain closed to customers",1
204,The Bullshit of Intrapreneurship - outBOXidea,1
205,"Corn `Train Wreck' Worse Than Forecast, U.S. Farmers Warn",1
206,U.S. new home sales beat expectations; supply near 13-year high,2
207,"Goldman is closing down its Russia business, making it among the first Wall Street banks to do so",0
208,Chinese developer misses bond payment as stress spreads beyond Evergrande crisis,0
209,US stocks rally again to record highs as earnings smash expectations — 'Is it different this time?',2
210,Applying a Fundamental and Value-Oriented Approach to Investing (w/ David Abrams),1
211,"Jens Weidmann casts a shadow over the ECB - If he simply validated the orthodox German view as president, it would be a disaster",0
212,"Kellogg's strike: 1,400 cereal factory workers hit picket lines",0
213,"Do you know the history of Kuwait Dinar, the world's most strongest currency?",1
214,Capitalism Saved Sweden,1
215,Cryptocurrency heist hacker returns $260m in funds,1
216,China’s property market runs out of steam as millions demand their money back,0
217,Japan takes on China with a planned $20 billion investment in Africa,1
218,JPMorgan hands boss Jamie Dimon million dollar 'special award' to stay at the bank,1
219,"Delivery driver slams customers for ""tip baiting"" but customers defend the practice",0
220,Raytheon and United Technologies are in late-stage talks to merge in an all-stock deal,1
221,A free Amazon alternative focused on local shopping has quietly redirected $25 million in spending from Jeff Bezos to small businesses across the U.S.,1
222,"Chinese companies brace for tariff hike: ‘If the tariffs rise to 25%, then we’re done for’",2
223,Map: Cities in the South are being held back by student debt,1
224,"Biden's call for $10,000 in student loan forgiveness not included in stimulus plan",1
225,"Tesla asks employees for help delivering 30,000 cars by end of quarter",1
226,Here’s why China’s trade war threat to restrict rare earth minerals is so serious,0
227,"On Wednesday, The Wall Street Journal published an opinion piece in which Mr. Stephen Moore called the Fed the “last major obstacle” to a sustained economic boom //",0
228,"Mortgage rates just hit another record low, and here's how much lower they can go",0
229,DoubleLine Capital CEO states “there’s easily 25% downside in the U.S. dollar”,0
230,Ackman’s London-Listed Pershing Square Gets Its Own Activist,1
231,"Undoing Obamacare would lead to huge tax cuts for the wealthiest Americans, study says",0
232,"Oil and gas companies undermining climate goals, says report.",1
233,Japan's fiscal condition worsens further amid COVID-19 malaise,0
234,"The super rich elite have more money than they know what to do with | The top 1% has run out of investing ideas, so they’ve parked $4.7 trillion in the bank",0
235,A reliable signal of recessions flashes for first time since 2007,1
236,Immigrants Propel Population Growth in 10% of U.S. Counties - WSJ,2
237,U.S. trade deficit with China hits five-year low,0
238,Abhijit Banerjee offers ‘print money’ pill (India),1
239,Was e-mail a mistake? The mathematics of distributed systems suggests that meetings might be better.,2
240,U.S. Postal Service moves ahead with plan to spend billions on gas vehicles,2
241,"Mark Cuban's New Company Has 2 (Not So Kind) Words for the Pharmaceutical Industry: It's a Lesson in Empathy, Leadership, and Emotional Intelligence",1
242,Workers get pay jackpot as employers fight labor shortage;. business leaders expect wages to keep going up,2
243,Fed chairman asks Congress to consider more stimulus,1
244,Bond Wizards Find Exotic Ways to Profit From Negative Yields,1
245,"The COMPETES Act: Finally, Robust Industrial Policy",1
246,Why carbon taxes may need to be far higher than we’d planned,2
247,Dutch regulators find Apple's payment rules for App Store are anti-competitive,0
248,"Here’s where all the jobs are in the US - in one chart, after April jobs report.",1
249,"Private payrolls surge by 275,000 in April, blowing past estimates and biggest gain since July",2
250,Inflation keeps weighing on consumer confidence,1
251,McDonald's CEO: '$7.25 in this day and age is not what you should be paying',1
252,Why There Are Plenty of Jobs and Still Unemployment,1
253,Dow drops 900 points on fears of Covid rebound,0
254,"China Posts Robust Export Growth in October, Beats Estimate - Bloomberg",2
255,"World’s Food Supplies Get Slammed by Drought, Floods and Frost",1
256,What you need to know as an entrepreneur before you ask for money,1
257,Deutsche Bank to quit Asian equities trading in 'radical' overhaul,1
258,"Restricting abortion is 'bad for business,' 180 business leaders say",0
259,"China Threatens to Place Apple, Boeing, and Other U.S. Firms on ‘Unreliable Entities’ List",1
260,What happens to common sense and logical thinking when these are needed the most during a crisis??? Stockpiling during Covid-19 proves how panic takes over common sense.,1
261,"Stocks, U.S. Futures Dip on Inflation, China Risks: Markets Wrap",1
262,"Tyson linked to 4,500 COVID-19 cases, as meat industry blames workers",1
263,"Shell Buys Russian Oil at Bargain Price. Western countries would blink first, I had always said sanctions won’t even last a week",1
264,"After three Chinese banks are bailed out, are more at risk?",0
265,Jobs Recovery Goes Into Reverse as Pandemic Takes a New Toll,1
266,"About half of China's loans to developing countries are 'hidden,' study finds",1
267,UPDATE 1-Goldman Sachs raises odds on U.S. Fed taper announcement in Nov,2
268,Model that predicted 2008 financial crisis suggests another recession is coming: expert,1
269,The Dark Secret Of Lake Malawi: Trading Sex For Fish,1
270,Dollar falls to nine day low as rally pauses aussie and kiwi rebound,0
271,Losing the inflation anchor,0
272,"Schumer, Pelosi agree to pursue $2 trillion infrastructure deal with Trump",1
273,Plastic bag use down 90% in England since 5p levy,0
274,"Powell: It is time to retire ""transitory"" for inflation. Dollar moves higher.",2
275,"Americaâ€™s housing market is competitive, unequal, and often just getting by. Just like us.",1
276,FT: Evergrande liquidity crisis: why the property developer faces risk of default,0
277,Most U.S. workers took an inflation pay cut in 2021,0
278,Hiring Growth Slowed in February as Employers Struggled to Find Workers: The unemployment rate edged down to 3.8%,0
279,"A Cheap, Race-Neutral Way to Close the Racial Wealth Gap: It’s time to try baby bonds.",1
280,Corporations' Effective Tax Rate was just 7% under Trump's Tax Law,1
281,Pig ‘Ebola’ Virus Sends Shock Waves Through Global Food Chain,1
282,Here Are Hundreds More Artists Whose Tapes Were Destroyed in the UMG Fire,1
283,Open borders can help US economy and combat illegal immigration,2
284,Trump vowed to eliminate the debt in 8 years. He’s on track to leave it at least 50 percent higher.,2
285,Meet the company making mouse meat cat treats without harming animals,1
286,"Toys R Us retrenches again, shutters its last 2 US stores",1
287,Fed Set to Launch Multitrillion Dollar Helicopter Credit Drop,1
288,Japan suspends 1.6 mln doses of Moderna shot after contamination reports,1
289,Fed lures banks to buy unwanted US Treasuries,1
290,Top tax rate on capital gains could reach highest level since '70s,1
291,New York Fed extends market intervention into November,2
292,Canada February building permits -5.7% vs +2.0% expected,1
293,Frontier and Spirit to merge creating 5th largest airline in U.S.,1
294,"Jeremy Grantham warns of an epic market bubble, bemoans the meme-stock boom, and touts venture capital in a new interview",1
295,"WeWork wants to strip away power held by Adam and Rebekah Neumann, the husband and wife cofounders, to get its IPO back on track",1
296,U.S. Warns Climate Poses ‘Emerging Threat’ to Financial System,1
297,China’s bid to stabilise its property market is causing jitters | The Economist,2
298,"The Jobs Report Was Good, but the Economy Is Still Bad",1
299,"From Spain to Germany, Farmers Warn of Fresh Food Shortages",1
300,US economists now expect recession in 2020 or 2021,0
301,"100% of the economists who answered the latest IGM poll agree with the statement ""Mandating staff vaccinations and/or regular testing at big employers would promote a faster and stronger economic recovery.""",2
302,"The US needs 50,000 truck drivers to avoid a shipping squeeze",1
303,DraftKings: A $21 Billion SPAC Betting It Can Hide Its Black Market Operations,1
304,Jack in the Box will Acquire Del Taco In a $575 Million Deal,1
305,Nvidia Crushed Earnings Estimates. Its Stock Is Slipping,1
306,Netflix Estimates ‘Squid Game’ Will Be Worth Almost $900 Million,1
307,How Chinaâ€™s Liquidity Squeeze Got Markets All Rattled,1
308,Tesla sues Rivian over ‘disturbing pattern’ of alleged trade secret theft,0
309,India lifted 271 million people out of poverty in 10 years: UN,2
310,Banker behind report alleging HSBC racism resigns over lack of support,0
311,Inflation Jumps in Canada After Statistics Agency Backtracks,1
312,Tesla delays price hike because of â€˜unusually high volumeâ€™ of last-minute orders,0
313,"Divorce Destroys Finances of Americans Over 50, Studies Show",1
314,"The average size of a new mortgage just set a record, as home prices continue to climb",2
315,California could force Amazon to reveal productivity quotas that critics say limit workers’ bathroom breaks. Amazon claims performance targets depend on ‘actual employee performance’.,1
316,Chinese agency lowers Ukraine sovereign debt rating in Russian invasion aftermath,0
317,Asian Supply Bottlenecks Add To Breakneck Inflation (Northern Trust),1
318,"Over 4 Million Workers Quit in August, the 5th Month of Record Exits",1
319,Australia to oppose China’s bid to join trade pact until it halts strikes against exports,1
320,"List of countries by wealth inequality: US beaten by Sweden, Russia, Netherlands for most unequal.",0
321,Elon Musk says SpaceX could face 'genuine risk of bankruptcy' from Starship engine production,0
322,Bank of England to Stir Debate Over U.K. Negative Interest Rates,1
323,America's CFOs are bracing for a 2020 recession,1
324,ELI5: The spikes in ruble vs dollars this past week,0
325,China's forex reserves rise in July,1
326,China says existing U.S. tariffs must be removed for a trade deal,1
327,"Trump Mixes Economic and National Security, Plunging the U.S. into Multiple Fights",1
328,$249 For Apple AirPods Pro… Seriously?,1
329,Chipotle will offer to pay tuition fees for employees to get tech and business degrees,1
330,"The federal deficit ballooned at start of new fiscal year, up 77 percent from a year before",2
331,BlackRock Is Not Ruining the U.S. Housing Market: The real villain isn’t a faceless Wall Street Goliath; it’s your neighbors and local governments stopping the construction of new units.,1
332,15 Asia-Pacific countries sign world's largest free trade agreement in coup for China to extend influence,2
333,Economic Concerns Send U.S. Consumer Mood to Seven-Month Low,1
334,How Games Workshop grew to become more profitable than Google | Board games,2
335,"Starbucks will have at least one unionized cafe in Buffalo, New York — a U.S. first for the chain",1
336,Biden’s Sharp-Elbows China Policy Hints at More Trump-Style Pain,1
337,Wealthy Russians flock to Dubai as west tightens sanctions,1
338,Investors warned about antibiotic overuse in livestock,0
339,Federal Trade Commission accuses Intuit of deceptively advertising TurboTax as free,1
340,Bruegel: The Independence of the Central Bank at Risk,1
341,"China April industrial output cools, retail sales growth falls to 16-year low as trade risks rise",0
342,A Generation of American Men Give Up on College: ‘I Just Feel Lost’,1
343,"China's elite scramble for path to Xi's 'common prosperity.' Massive wealth inequality in China: The top 10% of households own three or more homes. Meanwhile, 70% of migrants and millennials in cities cannot afford to buy their first home.",0
344,Warren Buffett argues government budget deficits don't matter.,1
345,Companies from Chipotle to Whirlpool are raising prices on consumers because of higher costs,2
346,What Killed the Middle Class?,1
347,Behind the Market Swoon: The Herdlike Behavior of Computerized Trading,1
348,Trump says he doesn’t need a trade deal with China before the 2020 election,1
349,Facebook's Mark Zuckerberg loses $8.5b due to outage,0
350,Beyond Meat Teams Up With Dunkin’ Donuts. Chipotle Says No Thanks.,1
351,"Analysis: After sanctions barrage, Russia's emerging market allies explore workarounds",1
352,"The China Trade War Reaches Tech, How Far Will it Go?",1
353,A Dunkin' coffee shop in Colorado is temporarily closing after the number of staff fell from 15 to 3 and it couldn't find anyone to replace them,0
354,Beijing unveils detailed reform plan to make Shenzhen the global city for China amid ongoing Hong Kong crisis,1
355,States That Cut Unemployment Benefits Saw Limited Impact on Job Growth,1
356,"Auto loans hit record high, sending borrowers with the best credit to the used market",2
357,"In May-July 2018, users spent 300 billion hours in Facebook-owned apps, In comparison to Google apps where people spent ‘only’ 118 billion hours. Quantity is not everything. Thanks to great monetization, Google Average revenue per user is 700% higher than Facebook.",2
358,French economist claims inflation is overstated since price changes are also driven by improvement in product quality,1
359,More Russian Billionaires Speak Out Against Putin’s War On Ukraine,1
360,"Ford is cutting 12,000 jobs in Europe to increase profitability",2
361,French lawmakers approve 3% tax on online giants,1
362,"As Immigrants Pour In, Wages Stagnate in Surging Canadian Economy",1
363,Is China Fudging its GDP figures? - Federal Reserve Bank San Francisco,1
364,Yelp is Screwing Over Restaurants By Quietly - Replacing Their Phone Numbers: The phone numbers add tracking before connecting to a restaurant so that Grubhub can bill for a marketing fee.,1
365,US jobs numbers hit 49-year high,2
366,"Restaurants Are Facing a Rotten Future, Even in States That Have Reopened",1
367,"New Architectures, Much Faster Chips",1
368,Valkyrie Investments Partners with Nasdaq in Bitcoin Futures ETF,1
369,US jobless claims drop 52-year low amid seasonal volatility | AP News,0
370,"Hidden wine cave, $110 million parking bill: Energy collapse wasn’t only thing that sank Chesapeake",0
371,Honda's global operations hit by cyber-attack,0
372,Denmark and Poland are refusing to bailout companies registered in offshore tax havens.,0
373,The Fed’s Dangerous ‘New Normal’: Is the Fed becoming the president’s piggy bank of choice?,1
374,President Trump said Wednesday that the U.S. will delay an upcoming increase in tariffs on $250 billion worth of goods from China at the request of Beijing.,0
375,"When Medical Debt Collectors Decide Who Gets Arrested - Welcome to Coffeyville, Kansas, where the judge has no law degree, debt collectors get a cut of the bail, and Americans are watching their lives — and liberty — disappear in the pursuit of medical debt collection.",1
376,Soho China shares plunge 40% after Blackstone deal collapses,1
377,"Surging shipping costs will drive up prices for some consumer products by 10%, new UN report finds.",2
378,Oil demand growth almost halves amid fears of economic slowdown,2
379,Yellen: US on track to default on national debt in October - The Hill,0
380,Mortgage rates are dropping — so why aren’t more people buying homes?,0
381,Affirm shares plummet 21% after accidentally tweeting financial results early,0
382,"Despite Trump’s tariff and border threats, Mexico is now the largest U.S. trading partner",1
383,Facebook’s Meta mission was laid out in a 2018 paper declaring ‘The Metaverse is ours to lose’,1
384,Why this 1990s McDonalds burger showed promise of being a wild success — but flopped |The McDonald's Arch Deluxe is one of the most infamous product failures in history,0
385,Elon Musk's Management Advice Is So Freakin' Brilliant That I Threw Away 37 Business Books,1
386,"Pandemic-hit Lufthansa says 22,000 jobs to go",0
387,IMF's firepower insufficient to respond to major new crisis: BIS head,0
388,U.S. current account deficit widens to 14-year high in second quarter,2
389,Florida Supreme Court rules in favor of utility solar development – pv magazine USA,1
390,Americaâ€™s high-yield debt is on ever-shakier foundations,1
391,Powell signals Federal Reserve bond-buying program could end sooner as inflation persists.,1
392,Why the Pandemic may never end… interesting article from NPR,1
393,American Railroads Are Already in Recession With No End in Sight,1
394,Interest Rates: Naturally Negative?,1
395,Huge space hotel promises fake gravity and 'supersized basketball',1
