sentiment,id,title,score,external_url,author,submitted_time
3,qj7v5l,Facebook’s Meta mission was laid out in a 2018 paper declaring ‘The Metaverse is ours to lose’,1,https://www.cnbc.com/2021/10/30/facebooks-meta-mission-was-laid-out-in-a-2018-paper-on-the-metaverse.html,Galeander,2021-10-30
1,swhg4d,Inflation has many retirees worried about outliving their savings,1,https://www.npr.org/2022/02/19/1081875948/inflation-has-many-retirees-worried-about-outliving-their-savings,wewewawa,2022-02-19
1,jvyrqx,Fewer international students studying in the U.S. cost the country $1.8 billion last year,22,https://www.cnbc.com/2020/11/17/fewer-international-students-cost-the-country-1point8-billion-last-year.html,Sirskywaves,1605638979
3,c22xtt,"Beyond Meat stock briefly trades above $200, hits a new all-time high",119,https://www.cnbc.com/2019/06/18/beyond-meat-stock-briefly-trades-above-200-after-soaring-18percent.html,AnecstaticDude,1560868226
1,g5qj1s,"Column: Amid coronavirus pandemic, Trump tariffs raise cost of masks, other medical supplies",2,https://www.latimes.com/business/story/2020-04-21/coronavirus-trump-tariffs,BlankVerse,1587512813
1,bwppdp,"FTD Files for Bankruptcy, Will Sell Assets",11,https://www.bloomberg.com/news/articles/2019-06-03/flower-delivery-mainstay-ftd-files-bankruptcy-will-sell-assets,currygoat,1559660475
1,flghp2,"As China’s Virus Cases Reach Zero, Experts Warn of Second Wave",2,https://www.bloomberg.com/news/articles/2020-03-18/as-china-virus-cases-near-zero-experts-warn-of-second-wave,uslvdslv,1584647510
3,bcz6j4,Bank of America is raising its minimum wage for employees to $20 an hour,301,https://www.cnbc.com/2019/04/09/bank-of-america-is-raising-its-minimum-wage-for-employees-to-20-an-hour.html?__source=facebook%7Cmain&amp;fbclid=IwAR1M7KZxD5oG6HWlLd0J3ZZAZF6uesw54rD1VrN3M1Lrjv0OAVp-fNDHKHw,da8415,1555215826
2,bqudik,International evidence for Keynesian economics without the Phillips curve,32,https://voxeu.org/article/international-evidence-keynesian-economics-without-phillips-curve,lunaranus,1558351987
1,d3ptsj,"Trading Tax Would Be ‘Devastating,’ High-Speed Advocates Say",10,https://www.bloomberg.com/news/articles/2019-09-12/trading-tax-would-be-devastating-high-speed-advocates-say,unstabletaco,1568383918
1,b1fime,Nearly Three Quarters of Economists Say $15 Minimum Wage Is Bad Idea,227,https://freebeacon.com/issues/nearly-three-quarters-of-economists-say-15-minimum-wage-is-bad-idea/,dtlv5813,1552659579
2,stq9ra,Can Democrats See What’s Coming?,1,https://www.nytimes.com/2022/02/12/opinion/yellen-supply-side-liberalism.html,xena_lawless,2022-02-16
2,o0gyco,"Nobel winner’s evolution from ‘dark realist’ to just plain realist on climate change. In new book, William Nordhaus says there’s a better way to frame the challenges posed by global warming and find solutions",11,https://www.washingtonpost.com/climate-solutions/2021/06/14/qa-william-nordhaus-interview-carbon-pricing/,coolbern,1623770733
2,bgyvm0,When does a minimum wage become too high?,14,https://www.npr.org/sections/money/2019/04/23/716126740/when-does-a-minimum-wage-become-too-high,SuccessfulOperation,1556134187
1,p50dz3,Japanese taxpayers were shut out from Olympic venues. Now they can view the staggering bill.,1,https://www.washingtonpost.com/world/2021/08/15/olympics-tokyo-costs-japan/,Puzzleheaded_Basil13,2021-08-15
2,fxuu9k,It’s time to move past employer-based health insurance,14,https://www.vox.com/2020/4/9/21210353/coronavirus-health-insurance-biden-sanders-medicare-for-all,Splenda,1586447564
2,qdecv8,A Study of 2.7 Million Startups Found the Ideal Age to Start a Business (and It's Much Older Than You Think),1,https://www.inc.com/jeff-haden/a-study-of-27-million-startups-found-ideal-age-to-start-a-business-and-its-much-older-than-you-think.html?cid=sf01001,panion,2021-10-22
1,fkt1pn,Stock market: Dow Jones falls below 2017 level before Trump took office,2,https://www.vox.com/2020/3/18/21181976/dow-jones-trump-lower-coronavirus,bjb406,1584551356
2,ouhbto,Didi: Chinese ride-hailing giant denies plans to go private,1,https://www.bbc.co.uk/news/business-58021828,WannoHacker,2021-07-30
1,cvp11o,American Hobby Store Getting Killed by Trump's Tariffs,22,https://www.courthousenews.com/small-businesses-see-big-toll-from-us-tariff-hike/,SBMZac,1566830789
2,rcim07,US jobless claims drop 52-year low amid seasonal volatility | AP News,1,https://apnews.com/article/jobless-claims-lowest-in-decades-seasonal-volatility-4dc9a3db3633b3413887b6fb15ae4e17,Motor-Ad-8858,2021-12-09
2,axqmna,Wall Street Firms Said to Agree to Clean Up Shady (Manufactured defaults) CDS Trades,15,https://www.bloomberg.com/news/articles/2019-03-05/wall-street-titans-said-to-cut-deal-to-clean-up-shady-cds-trades,xarc13,1551822113
3,st3tj9,Belgium to give workers right to request four-day week. Economic reforms include allowing staff to earn three-day weekend by working longer hours,1,https://www.theguardian.com/law/2022/feb/15/belgium-to-give-workers-right-to-request-four-day-week,GoMx808-0,2022-02-15
2,bjzmmj,The Anatomy of a Market Correction,5,https://www.visualcapitalist.com/anatomy-market-correction/,ploflo,1556828497
1,b908kk,Japan’s Statistics Scandal: The Need for New Approaches,8,https://www.nippon.com/en/in-depth/d00475/japan%E2%80%99s-statistics-scandal-the-need-for-new-approaches.html,lingben,1554309199
1,hurldq,U.S. air travel falls for first week since April as coronavirus cases spike,52,https://www.cnbc.com/2020/07/20/us-air-travel-falls-for-first-week-since-april-as-coronavirus-cases-spike.html,shortchange81,1595272446
3,q0h9ai,More Americans have $1 million saved for retirement than ever before,1,https://www.marketwatch.com/story/more-americans-have-1-million-saved-for-retirement-than-ever-before-11629478108,techbro78,2021-10-03
1,rb49si,Tesla’s Elon Musk Really Doesn’t Like Biden’s Spending Bill,0,https://www.barrons.com/articles/tesla-elon-musk-biden-51638875110?tesla=y,GeorgeKaplanIsReal,2021-12-07
2,r0n52y,Samsung Picks Texas Site for Advanced U.S. Chip Plant,1,https://finance.yahoo.com/news/samsung-picks-texas-advanced-u-032558343.html,peter_bolton,2021-11-23
1,c0y98b,Why the 737 Max should never fly again,163,https://www.thestar.com/business/opinion/2019/06/15/why-the-737-max-should-never-fly-again.html,discocrisco,1560611228
1,pjxmov,States That Cut Unemployment Benefits Saw Limited Impact on Job Growth,1,https://www.wsj.com/articles/states-that-cut-unemployment-benefits-saw-limited-impact-on-job-growth-11630488601,Kirito_Beleren,2021-09-07
3,oom8ev,JPMorgan hands boss Jamie Dimon million dollar 'special award' to stay at the bank,1,https://sg.news.yahoo.com/jpmorgan-jamie-dimon-special-award-stock-appreciation-rights-tenure-stay-ceo-081320273.html,WannoHacker,2021-07-21
2,rapo2a,Leveraged Loan Market Sees Second Pulled Deal in Two Days,1,https://www.bloomberg.com/news/articles/2021-12-06/leveraged-loan-market-sees-second-pulled-deal-in-two-days?sref=frV97TwV,elija_snow,2021-12-07
1,p0p4gd,The Fed’s ultraloose monetary policy could hurt both the economy and Biden’s agenda,1,https://www.washingtonpost.com/opinions/2021/08/06/feds-ultraloose-monetary-policy-could-hurt-both-economy-bidens-agenda/,ThomasSnout,2021-08-08
2,r2i5n0,China Asks Didi to Delist From U.S. On Security Fears,1,https://www.bloomberg.com/news/articles/2021-11-26/china-is-said-to-ask-didi-to-delist-from-u-s-on-security-fears?sref=BXV5fZtz&amp;fbclid=IwAR3EmRnOyT7nGdbXV4GXS5jDLl9_r_35eH9KOp39vNyXTE0jkfKCaJmKdl8,DownBadddddd,2021-11-26
2,dp55f3,"If we’re serious about changing the world, we need a better kind of economics to do it - Guardian Opinions",4,https://www.theguardian.com/commentisfree/2019/oct/30/changing-world-better-economics-honest-humane,XVll-L,1572433233
3,bd5vsx,Lyft goes ahead of Uber in the IPO game,113,https://www.tradingsitereviews.com/investing/lyft-goes-ahead-of-uber-in-the-ipo-game,REDGRAVE65,1555266884
2,rhukw6,Why Biden Can’t Win On Inflation,1,https://fivethirtyeight.com/features/why-biden-cant-win-on-inflation/,psychothumbs,2021-12-16
1,qf5fxv,The Chronicle of Higher Education (Unpaywalled): America’s Standardized-Testing Giants Are Losing Money Fast,1,https://archive.ph/VXlr6,Genedide,2021-10-25
2,py3ff2,US rents rise more than 10%,1,https://www.bloomberg.com/news/articles/2021-09-29/u-s-rents-are-accelerating-at-shocking-rates-of-more-than-10,anthologyxxviii,2021-09-29
2,cbv4tu,"The first day of work at Nike, Salesforce, IBM, and SEGA",126,https://academyocean.com/blog/post/the-first-day-of-work-at-nike-salesforce-ibm-and-sega-1,VladimirPolo,1562847911
2,p15gqs,America’s Inflation Debate Is Fundamentally Confused,1,https://nymag.com/intelligencer/2021/08/americas-inflation-debate-is-fundamentally-confused.html,psychothumbs,2021-08-09
2,pzzzqo,China gorges on American grain-fed beef amid shrinking supplies from Down Under. Beef imports from the U.S. have grown nine times in the first eight months of 2021. Beef imports from Australia in the first eight months fell to half of what they were in the same period last year,1,https://www.reuters.com/world/china/china-gorges-american-grain-fed-beef-amid-shrinking-supplies-down-under-2021-10-01/,3rdOrderEffects,2021-10-02
2,r5i7oi,Elon Musk says SpaceX could face 'genuine risk of bankruptcy' from Starship engine production,1,https://spaceexplored.com/2021/11/29/spacex-raptor-crisis/,WannoHacker,2021-11-30
2,bdsfhc,Why Does Trump Want to Turn America Japanese?,7,https://www.bloomberg.com/view/articles/2019-04-15/donald-trump-s-economic-strategy-is-scarily-japanese,GrouchyMcGrouch,1555411377
2,ikk1rl,How can the debt caused by Covid-19 be dealt with?,2,https://theeconoblog.com/index.php/2020/06/25/how-can-the-debt-caused-by-covid-19-be-dealt-with/,Shaz8t7,1598966168
2,qe6l6b,"Long-term trends in income inequality: Winners and losers of economic change in Ghana, 1891–1960",1,https://www.sciencedirect.com/science/article/pii/S0014498321000231,dreaded_python,2021-10-23
2,bcpaij,How Amazon paid zero in taxes on its billions.,3,https://infadium.blogspot.com/p/blog-page_13.html,culaterbro,1555152358
2,pasrn3,DoubleLine Capital CEO states “there’s easily 25% downside in the U.S. dollar”,1,https://finance.yahoo.com/news/jeffrey-gundlach-view-on-the-us-dollar-decline-154813067.html,jsie-iaiqhsi816278,2021-08-24
3,cex2pr,Who is Bernard Arnault? Louis Vuitton chief passes Bill Gates as world’s second-richest person,18,https://finance.yahoo.com/news/who-is-bernard-arnault-155627201.html,thatsocrates,1563478386
2,akfuzc,20% of Americans in relationships are committing financial infidelity,26,https://finance.yahoo.com/news/20-percent-americans-in-relationship-commit-financial-infidelity-survey-155414298.html,Sirskywaves,1548623439
2,oppq1o,Does anybody use this website? tradingeconomics.com,1,https://tradingeconomics.com/,KayqubadKhan,2021-07-22
3,osgz8z,Tesla reaches milestone with first $1B quarterly profit,1,https://abcnews.go.com/Business/wireStory/tesla-reaches-milestone-1b-quarterly-profit-79072668,GOR098,2021-07-27
1,tda2qb,Recession in the USA and EU with Ukraine Crisis,1,https://coinbynews.com/recession-usa-and-eu-ukraine-crisis,Reuea,2022-03-13
2,qqzetg,Common Misconceptions about the Consumer Price Index: Questions and Answers : U.S. Bureau of Labor Statistics,1,https://www.bls.gov/cpi/factsheets/common-misconceptions-about-cpi.htm,LtCmdrData,2021-11-10
2,tbiten,Didi to halt Hong Kong listing plans according to Bloomberg News,1,https://www.reuters.com/markets/asia/didi-halt-hong-kong-listing-plans-bloomberg-news-2022-03-11/,Motor-Ad-8858,2022-03-11
1,sojtca,Americans lost $304 million on dating apps last year,1,https://www.tampabay.com/news/crime/2022/02/09/tampa-bay-women-found-love-online-the-scam-cost-them-everything/?n,Spagetti13,2022-02-09
3,gzwt5q,Report: Consumers on track for record year of debt repayment before coronavirus hit,31,https://www.thedailyfodder.com/2020/06/report-consumers-on-track-for-record.html,Logical-Belt,1591738516
2,jgnoqo,"More than 700 leading economists, including 7 Nobel winners, urge US voters to reject Trump, a 'selfish and reckless' president",2,https://www.businessinsider.com/trump-election-day-economists-biden-economy-growth-gdp-2020-10,javaxcore,1603461779
2,stpsua,Meta agrees to pay $90 million to settle a lawsuit alleging Facebook kept tracking users after they logged off,1,https://www.businessinsider.com/meta-facebook-pay-90-million-lawsuit-tracking-users-logged-off-2022-2,GoMx808-0,2022-02-16
3,ls031r,HP is buying gaming accessory brand HyperX for $425 million,3,https://www.theverge.com/2021/2/24/22298904/hp-acquires-hyperx-kingston-announcement,rainbowarriorhere,1614234557
2,gyzlgn,"Coronavirus for kids without internet: Quarantined worksheets, learning in parking lots",26,https://www.usatoday.com/story/news/education/2020/04/01/coronavirus-internet-speed-broadband-online-learning-school-closures/5091051002/,[deleted],1591623898
2,dlhceq,Fed repo: Worries continue over the efforts to fix funding issues,12,https://www.cnbc.com/2019/10/22/fed-repo-worries-continue-over-the-efforts-to-fix-funding-issues.html,newnemo,1571747973
3,re96vl,This 68-year-old retiree lives on $620 per month in Mexico,1,https://www.cnbc.com/2021/12/11/this-68-year-old-retiree-lives-on-620-per-month-in-mexico-take-a-look-inside-her-160000-home.html,Bocifer1,2021-12-11
3,bnqum6,London handbag company recycles fire hoses into fashion accessories,14,https://www.businessinsider.com/london-handbag-fire-hoses-recycled-fashion-accessories-sustainability-2019-5,mike_gifford,1557678588
2,pkdnhy,CNN: Pelosi says raising the debt ceiling won't be part of reconciliation package,1,https://www.cnn.com/2021/09/08/politics/nancy-pelosi-debt-ceiling-reconciliation/index.html,tigeryi,2021-09-08
2,cyg48d,"Corporate Profits Are Down, But Wages Are Up: As a share of GDP, companies are bringing in less while workers take home more.",6,https://www.bloomberg.com/opinion/articles/2019-09-01/corporate-profits-are-down-but-wages-are-up,cryptoz,1567374718
1,po9495,Proposed IRS reporting of bank account information upsets Ohio’s community banks and Republican legislators,1,https://www.cleveland.com/open/2021/09/proposed-irs-reporting-of-bank-account-information-upsets-ohios-community-banks-and-republican-legislators.html,Lost_Lynx_6430,2021-09-14
1,gmprvc,Big Cable to Lose $264 Million in Revenue from Hidden Fees This Year Just from Customers That Left in Q1,4,https://www.killthecablebill.com/big-cable-264-million-q1/,GotTime4That,1589899061
3,pl2osr,"Costa Coffee gives staff 5% pay rise as it looks to recruit 2,000 workers",1,https://www.theguardian.com/business/2021/sep/09/costa-coffee-gives-staff-5-pay-rise-as-it-looks-to-recruit-2000-workers,WannoHacker,2021-09-09
2,q0meb9,Pandora papers: biggest ever leak of offshore data exposes financial secrets of rich and powerful.,1,https://www.theguardian.com/news/2021/oct/03/pandora-papers-biggest-ever-leak-of-offshore-data-exposes-financial-secrets-of-rich-and-powerful,lightinggod,2021-10-03
2,coiuu5,False Freedom: Sharing the Scraps from the Perilous Gig Economy,4,https://lithub.com/false-freedom-sharing-the-scraps-from-the-perilous-gig-economy/,Mynameis__--__,1565448057
2,rah94d,Six Things They’re Not Telling You About Inflation,1,https://www.dailyposter.com/six-things-theyre-not-telling-you-about-inflation/,saul2015,2021-12-06
3,mk34eg,Student Loan Relief For 1 Million More Borrowers — After Biden Cancels $2.3 Billion Of Student Loans,5,https://education.media/student-loan-relief-for-1-million-more-borrowers-after-biden-cancels-2-3-billion-of-student-loans,reianafares56,1617564876
3,q6v19n,Pelosi says proposal to take debt ceiling authority away from Congress 'has merit',1,https://thehill.com/homenews/house/576354-pelosi-says-proposal-to-take-debt-ceiling-authority-away-from-congress-has,BlankVerse,2021-10-12
3,hmf2a0,"Princeton will limit students on campus to one semester, discount tuition due to COVID-19",2,https://www.nj.com/coronavirus/2020/07/princeton-will-limit-students-on-campus-to-one-semester-discount-tuition-due-to-covid-19.html?utm_content=nj_twitter_njdotcom&amp;utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=njdotcom_sf,aaj617,1594064980
2,orcg11,New Kent woman who helped journalists expose financial corruption may soon be imprisoned,1,https://richmond.com/news/state-and-regional/new-kent-woman-who-helped-journalists-expose-financial-corruption-may-soon-be-imprisoned/article_fe9cfbb9-2b23-5053-8d76-57b606a37483.html#tracking-source=home-top-story-1,r4816,2021-07-25
2,rbs88e,Lie Flat Meets the Great Resignation,40,https://www.bloomberg.com/news/newsletters/2021-12-08/what-s-happening-in-the-world-economy-lie-flat-meets-great-resignation,Defiant_Race_7544,1638972780
2,csp1u2,Hong Kong for International Business: Stick a Fork in It | China Law Blog,6,https://www.chinalawblog.com/2019/08/hong-kong-for-international-business-stick-a-fork-in-it.html,dtlv5813,1566256169
2,c99v6l,Why Airlines Should Fear Self-Driving Cars,61,https://betterquestions.blog/why-the-autonomous-revolution-will-give-southwest-airlines-no-luv/,wsmrun,1562287869
2,oum6vo,"Fed Chair Jerome Powell: ""Inflation Could Turn Out To Be Higher And More Persistent Than We Expect""",1,https://www.realclearpolitics.com/video/2021/07/28/fed_chair_jerome_powell_inflation_could_turn_out_to_be_higher_and_more_persistent_than_we_expect.html,ElonMuch,2021-07-30
1,qbe6wg,Chinese developer Sinic defaults as Evergrande deadline looms,1,https://www.ft.com/content/1e79c466-c813-41de-a0b3-cbd27a983aaa,PlantTreesEveryday,2021-10-19
1,avf2cp,Behind the Market Swoon: The Herdlike Behavior of Computerized Trading,8,https://www.wsj.com/articles/behind-the-market-swoon-the-herdlike-behavior-of-computerized-trading-11545785641,Mynameis__--__,1551283545
1,h0j39t,"Without Additional Aid to State, Local Governments, Over 5 Million Workers Could Lose Jobs by End of 2021, Economic Analysis Shows",9,https://www.newsweek.com/without-additional-aid-state-local-governments-over-5-million-workers-could-lose-jobs-end-1510045,Zaxo1990,1591819903
2,gwp8g8,LA Mayor Slashes LAPD Budget As Calls To ‘Defund Police’ Slowly Pick Up Steam,2,https://www.forbes.com/sites/jackbrewster/2020/06/04/la-mayor-slashes-lapd-budget-as-calls-to-defund-police-slowly-pick-up-steam/#a220d531ba36,MustacheBattle,1591301709
3,bathq6,"The 'Trump effect' is slowing progress on climate change, but investors are fighting back and winning",9,https://www.cnbc.com/2019/04/06/trump-loves-coal-hates-climate-action-but-investors-are-fighting-back.html,Wagamaga,1554728279
3,bx1m07,Beyond Meat’s stock pops on report that meatless companies are struggling to keep up with surging demand,554,https://www.cnbc.com/2019/06/04/beyond-meats-stock-pops-on-report-that-meatless-companies-are-struggling-to-meet-demand.html,lnfinity,1559735103
3,r6qz31,Capital One is the first big bank to get rid of overdraft fees,1,https://www.cnn.com/2021/12/01/investing/capital-one-overdraft-fees/,wewewawa,2021-12-01
2,bvkbtq,China Launches Investigation Into FedEx in Trade War Escalation,10,https://www.bloomberg.com/news/articles/2019-06-01/china-launches-investigation-into-fedex-xinhua?cmpid=BBD060119_WKND&amp;utm_medium=email&amp;utm_source=newsletter&amp;utm_term=190601&amp;utm_campaign=weekendreading,am3l1a,1559392374
1,pu8d1k,"The Fed has signalled an inflection point: US taper may be steeper, and its first rate rise sooner, than expected",1,https://www.ft.com/content/becc9a89-6c06-4ace-a380-736cedb2fcc1,leftisturbanist17,2021-09-24
3,bhhpwm,Stock market's value under Trump has grown by $6.9 trillion to $30.6 trillion,15,https://www.cnbc.com/2018/01/18/stock-markets-value-under-trump-has-grown-by-6-point-9-trillion-to-30-point-6-trillion.html,georgre1964,1556249473
2,pgf8s5,"Federal Jobless Aid, a Lifeline to Millions, Reaches an End",1,https://www.nytimes.com/2021/09/02/business/economy/federal-unemployment-benefit-cutoff.html,JustARandomPerson902,2021-09-02
3,qlzfmt,BMW profits rise to €3.4bn as focus turns to more expensive cars,1,https://www.theguardian.com/business/2021/nov/03/bmw-profits-rise-focus-turns-to-more-expensive-cars,WannoHacker,2021-11-03
2,kxat7m,Hong Kong emigration to Britain could mean $36 billion capital outflow,2,https://www.reuters.com/article/idUSKBN29J0WM,fragrance-harbour,1610646942
2,d2c7v8,China to wean off US key Technologies by 2025 due to trade war,564,https://www.cnbc.com/2019/09/10/china-will-win-trade-war-reduce-reliance-on-us-tech-strategist.html,komokasi,1568141118
3,fxvq8h,Federal Reserve takes additional actions to provide up to $2.3 trillion in loans to support the economy,2,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200409a.htm,npc_corp_alt,1586450419
3,b511pj,The Great American Cardboard Comeback,2,https://www.nytimes.com/2019/03/22/business/cardboard.html,currygoat,1553459013
1,dhlu34,"Amazon's delivery contractors announce upward of 2,000 layoffs even as the mega-retailer's logistics demand balloons",241,https://www.businessinsider.com/amazon-delivery-driver-contractors-layoffs-nationwide-2019-10,thinkB4WeSpeak,1571029169
3,xy7uim,US to boost gas exports to Germany under deal with EnBW,1,https://www.ft.com/content/064437a4-2c60-4962-b722-d669d71e914a#comments-anchor,Soupjoe5,2022-10-07
2,pjs2vr,How to keep your employees from joining the ‘Great Resignation’,1,https://www.computerworld.com/article/3632388/how-to-keep-your-employees-from-joining-the-great-resignation.html,yourbasicgeek,2021-09-07
3,ctyk7w,Manufacturing sector contracts for the first time in nearly a decade,119,https://www.cnbc.com/2019/08/22/manufacturing-sector-contracts-for-the-first-time-in-nearly-a-decade-according-to-ihs-markit.html,WallStreetMeme,1566485742
1,c65qd9,"Ford is cutting 12,000 jobs in Europe to increase profitability",47,https://www.marketwatch.com/story/ford-is-cutting-12000-jobs-in-europe-to-increase-profitability-2019-06-27,FenrirIII,1561643279
1,mzyz99,Ireland: Operating A Cryptocurrency Company Without Registration With The Central Bank Is A Crime,2,https://www.globaltrends.us/2021/04/ireland-operating-cryptocurrency.html,mikyy11,1619558545
